Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Tazza di Mattina,5 Rue du Centre Commercial local 5,H8Y 2N9,45.5100279,-73.8065166,57,4.8
Loulou Ceramique,15757 Boul. de Pierrefonds,H9H 3X6,45.4792319,-73.8676875,21,4.8
Café de Source,4499 Bd des Sources,H8Y 3C1,45.4981886,-73.8112028,123,4.7
Café Dépôt Place Vertu,3131 Boul de la Côte-Vertu Place Vertu,H4R 1Y8,45.497253,-73.704253,22,4
Café Dépôt Ville St-Laurent,"2505 Rue des Nations Bombardier, Ville",H4R 3C8,45.513123,-73.711557,376,4.2
Mr Milky,4871 Bd Saint-Charles,H9H 3E4,45.4665174,-73.8734739,44,4.8
Bar à café H8S,2130 Bd Saint-Joseph,H8S 2N7,45.4336674,-73.6837514,365,4.4
Escouade Miss Café,247 32 ieme avenue,H8T 1X8,45.4352441,-73.6923716,8,5
Café 92 Degrés,6703 Rue Sherbrooke O,H4B 1P3,45.4622199,-73.6322316,518,4.6
Café des Amis - Chalet du Mont-Royal,1196 Voie Camillien-Houde,H3H 1A1,45.5037965,-73.5874452,4489,4.5
Crew Collective & Cafe,360 Rue Saint-Jacques,H2Y 1P5,45.5023198,-73.5593173,3254,4.5
Dispatch Coffee,4021 Boul. Saint-Laurent,H2W 1Y4,45.5170266,-73.5790839,582,4.4
Café Van Houtte,"Édifice FTQ, 545 Boul Crémazie E",H2M 2V1,45.546348,-73.638561,90,3.3
Café Olimpico,419 R. Saint-Vincent,H2Y 3A6,45.5071525,-73.5532485,1511,4.6
Columbus Café & Co,5101 Av du Parc,H2V 4G3,45.519836,-73.5958618,116,4.2
Café Rosso Nero,2581 Rue Fleury E,H2B 1L7,45.5766135,-73.6468308,21,4.7
Café La Place Commune,7669 Av. Querbes,H3N 2B7,45.530246,-73.6288463,184,4.6
Café Bar Cozmos,880 Rue Jean-Talon O,H3N 1S6,45.5256086,-73.6248512,53,3.9
Café Olimpico,124 Rue Saint- Viateur O,H2T 2L1,45.5241048,-73.6002501,2906,4.6
Caravane Café,3506 Av. Lacombe,H3T 1M1,45.4973435,-73.6226701,984,4.3
Café Qu'on Sert,9155 Rue St-Hubert,H2M 1Z1,45.5517023,-73.6424529,9,4.2
Café de course,2103 Boul. Gouin E,H2B 1X1,45.5747488,-73.658969,207,4.4
OUI MAIS NON,72 Rue Jarry E,H2P 1T1,45.5397,-73.6306833,1149,4.6
Café Larue & fils,244 Rue de Castelnau E,H2R 1P5,45.5376957,-73.6179068,490,4.5
Café Larue & Fils,405 Rue Jarry E,H2P 1V2,45.5428582,-73.6292646,345,4.5
Le Café Crème,1505 Rue Fleury E,H2C 1S5,45.5627253,-73.656683,142,4.5
Jakes Café,821 Av. Sainte-Croix,H4L 3X9,45.5147493,-73.6745155,0,
Cafe TCAN,7405 Rte Transcanadienne,H4T 1Z2,45.4899982,-73.7090897,134,4.9
Café Aroma Paninotica,1520 Rue Fleury E,H2C 1S5,45.5627887,-73.6561204,146,4.9
Café Van Houtte,996 Bd Décarie,H4L 3M5,45.513947,-73.682684,248,3.9
Express o café,1015 Rue Provost,H8S 1N3,45.4418142,-73.6730718,10,4.5
Second Cup Café,1555 Blvd. Marcel-Laurin,H4R 0B7,45.5159542,-73.6965088,512,4
Transit Café,8300 Route Transcanadienne,H4S 1T9,45.488962,-73.725021,5,4.8
Second Cup Café,14845 Boul. de Pierrefonds,H9H 4M5,45.4840324,-73.860256,253,4
Café L'Isola,106 Bd Jacques Bizard,H9C 2T9,45.4891968,-73.8713994,76,4.8
Boutique Java Kap,4583 Bd Saint-Charles,H9H 3C7,45.4633926,-73.8702894,84,4.7
Express Indien Restaurant,6579 Av. Somerled,H4V 1T1,45.46708,-73.6390865,283,4.3
Vivaldi,13071 Boul Gouin O,H8Z 1X1,45.5037181,-73.8414138,698,4.5
Le Spot,9564 Boul Gouin O,H8Y 1R3,45.5034358,-73.7805216,9,4.9
Ten Restaurant,11655 Boul Gouin O,H8Y 1Y4,45.5088799,-73.8213719,271,4.4
Heritage Coffee,2795 Rue Halpern,H4S 1P8,45.4926842,-73.751098,25,2.4
McDonald's,11680 Boul. de Pierrefonds,H8Y 3C9,45.506072,-73.8206771,1247,3.5
Cremerie Cafe Tropicale,6370 Boul Gouin O,H4K 1A8,45.5292698,-73.723683,0,
Ahmed Cafe,12224 Blvd. Laurentien,H4K 1M9,45.527636,-73.7208628,57,4.4
Le Café Chez Paty,740 Boulevard Cote Vertu Ouest #158,H4L 5C8,45.5197453,-73.6747498,5,5
Café Bistro Unika,9900 Boul Cavendish,H4M 2V2,45.4959137,-73.7004052,12,4.8
Cafe La Presse,2864 Rue de Salaberry,H3M 1L3,45.5368079,-73.6978158,119,4.4
New Mondo Café,9258 Bd de l'Acadie,H4N 3C5,45.5326512,-73.6561589,396,4.6
Café 3 Etoiles,6700 Chem. de la Côte des Neiges,H3S 2A8,45.5026814,-73.6376751,2,5
Torréfaction De Cafe Gourmet,2000 Rue Lapierre,H8N 1A9,45.4364321,-73.6134235,1,5
Hibou Café,1 Rue Chabanel O,H2N 1N3,45.5442846,-73.6517872,9,4.6
Dessertcafemomo,5525 Av de Monkland,H4A 1C8,45.476666,-73.622197,382,4.8
Café District,83 R. St Viateur Est,H2T 1A7,45.5270776,-73.5980108,81,4.2
Café San Gennaro,69 Rue Saint-Zotique E,H2S 1K7,45.5328169,-73.6112888,951,4.7
Café Bar St-Laurent Frappé,3900 Boul. Saint-Laurent,H2W 1Y2,45.516249,-73.57817,269,4
Café Van Houtte,500 Rue Sherbrooke O,H3A 3C6,45.506137,-73.572016,18,3.2
Toi moi et café,244 Av. Laurier O,H2T 2N8,45.5203671,-73.5949504,823,4.3
Café Humble Lion (McGill Collège),1204 Av. McGill College,H3B 4J8,45.501556,-73.5707796,214,4.3
Café Saint Henri,3632 Notre-Dame St W,H4C 1P5,45.4793923,-73.5811184,638,4.3
PIGEON CAFÉ,5625 Av de Monkland,H4A 1E2,45.4754257,-73.6232481,648,3.7
Pâtisserie Dolci Più,849 Bd Décarie,H4L 3L7,45.5123179,-73.6793362,876,4.3
Shaughnessy Café,1455 Rue Lambert Closse,H3H 1Z5,45.4908843,-73.5846426,420,4.6
Café Tu Sol,1480 Rue Jean-Talon E,H2E 3B5,45.5464355,-73.6082356,13,4.3
Café Conca d'Oro,184 Rue Dante,H2S 1K1,45.5341769,-73.6124112,175,4.8
Ferlucci Coffee Shop,432 Rue de Castelnau E,H2R 1R3,45.5395082,-73.6169749,667,4.8
Café Saint-Henri (Marché Jean-Talon),260 Pl. du Marché-du-Nord,H2S 1A1,45.5358855,-73.614,281,4.2
Café Saint-Henri (Mile-Ex - Quartier Général),7335 Rue du Mile End,H2R 2Z7,45.5323192,-73.6232895,323,4.7
Café Inn,1111 Rue Lapierre,H8N 2J4,45.4364598,-73.6053918,4,5
Café DAX,1461 Av. Van Horne,H2V 1L3,45.5195259,-73.6159767,339,4.7
Solaris Resto-Bar,5487 Bd Décarie,H3W 3C6,45.4869865,-73.6354687,274,4.3
Café Central,2376 Rue Allard,H4E 2K9,45.4511382,-73.5928539,512,4.7
Café Ali Baba,5147A Chem. de la Côte des Neiges,H3T 1X9,45.4953879,-73.6195618,115,3.5
Café Info-Math,2920 Ch de la Tour,H3T 1N8,45.5011841,-73.6153766,21,4.7
Second Cup Café,"3755 Chemin de la Côte Ste. Catherine Pavillion B, 3755 Chem. de la Côte-Sainte-Catherine",H3T 1E2,45.4979652,-73.6295767,28,3.3
Resto Café Site Med Inc,6700 Chem. de la Côte des Neiges,H3S 2A8,45.5023574,-73.638034,16,4.1
Café étudiant L'Intermed,,H3T 1J4,45.5024663,-73.6162247,14,4.9
Jr's Café,5335 Chem. Queen Mary,H3X 1T9,45.4831478,-73.6298986,24,4.4
Le Saint-Laurent Café & Barbershop,9711 Boul. Saint-Laurent,H3L 2N4,45.5463983,-73.6573785,53,4.8
Orange Café,4011 Bd Décarie,H4A 3J8,45.4775521,-73.6155709,907,4.3
Boulevard Cafe Bistro Lounge,10215 Boul. Saint-Laurent,H3L 2N5,45.5482347,-73.6633297,38,3.9
Café-Bar 50/50,8387 Boul. Saint-Laurent,H2P 2M7,45.540354,-73.635566,43,4.7
Café Monté Bianco,8499 Bd de l'Acadie,H3N 1B8,45.5295491,-73.6437261,7,4.3
Café Mystique,166 Rue Benjamin Hudon,H4N 1H8,45.5268645,-73.6566573,33,3.8
Chatime VSL,1931 Bd Keller,H4K 2V6,45.5242858,-73.7134681,114,4.3
Fashion Cafe,410 Rue Chabanel O,H2N 1G7,45.5384986,-73.65434,1,3
Transit Café,9815 Rue Lajeunesse,H3L 2C9,45.551977,-73.656002,6,3.3
Terra Café et Thé Ltée,290 Rue de Port-Royal O,H3L 2B4,45.5417153,-73.6596874,183,4.8
Columbus Café & Co,5526 Av de Monkland,H4A 1C7,45.4763177,-73.6218182,42,4.6
Cerise Café-Buvette,234 Rue Fleury O,H3L 1T7,45.5450897,-73.6667461,38,4.6
Café Toranj,5791 Rue Sherbrooke O,H4A 1X2,45.4700821,-73.6172264,664,4.4
Second Cup Café avec Pinkberry yogourt glacé,5206 Chem. de la Côte des Neiges,H3T 1X8,45.4955785,-73.6210872,611,4
Second Cup Café,5550 Av de Monkland,H4A 1C9,45.4760695,-73.6220562,394,3.7
Grand Place Café,5511 Av de Monkland,H4A 1C8,45.4767272,-73.6220633,43,4.9
Cafe,5339 Bd Décarie,H3W 3C4,45.4857335,-73.6330039,0,
Café Dépôt Gelato Carrefour Angrignon,"Carrefour Angrignon, 7077 Newman Blvd Local 57",H8N 1X1,45.447696,-73.615538,95,3.8
Café étudiant Acquis de Droit,3101 Ch de la Tour,H3T 1J7,45.4986435,-73.6172221,19,4.3
Café Bistro Il Piceno,1371 Av Dollard,H8N 1T3,45.4266553,-73.6257847,48,4.4
Second Cup Café avec Pinkberry yogourt glacé,4795 Av. Van Horne,H3W 1H8,45.4946414,-73.6378233,397,4.1
Café Newman,7550 Bd Newman,,45.4396521,-73.6207771,8,4
Café Expressions ( Café AnaVic),"Lobby, 5885 Chem. de la Côte des Neiges",,45.5002934,-73.6301639,275,4.2
Kokkino Cafe,5673 Rue Sherbrooke O,H4A 1W6,45.4709628,-73.6154409,178,4.7
Café Le Romarin,160 Rue Fleury O,H3L 1T5,45.5460824,-73.6660988,59,4.4
Cafe Express,1600 Bd Henri Bourassa O,H3M 3E2,45.5365394,-73.6786479,5,5
Nonnina,1865 Rue Notre Dame,H8S 2E9,45.4350414,-73.6803575,427,4.8
Second Cup Café avec Pinkberry yogourt glacé,7335-7345 Rue Sherbrooke O,H4B 1R9,45.456109,-73.6409385,465,4.1
MELK Bar à Café,5612 Av de Monkland,H4A 1E3,45.4752778,-73.6227778,627,4.6
Café Choco-Latté,1870 Av Dollard,H8N 1T8,45.4295851,-73.633465,408,4.7
Café Santé,,,45.5008289,-73.6608586,0,
Transit Café,5455 Bd Décarie,H3W 3C6,45.486579,-73.63456,2,3.5
Java-U Cafe,5345 Rue Ferrier,H4P 1M1,45.4966718,-73.6591088,85,4
Chez Céramique Bistro,1916 Bd Thimens,H4R 2K2,45.5123067,-73.6932842,29,4.8
CAFFE IRAZU,8106 Rte Transcanadienne,H4S 1M5,45.488686,-73.7205904,2,5
Café Van Houtte,4983 Rue Levy,H4R 2N9,45.495295,-73.737187,7,4.1
Cafe Bistro Ryan's,"6363, Rte Transcanadienne",H4T 1Z9,45.4955435,-73.6864637,3,2.7
Café Ilios,9641 Bd LaSalle,H8R 2N6,45.4251108,-73.658263,171,5
Hingston Cafe,7141 Rue Sherbrooke O,H4B 1R6,45.4584934,-73.6406396,1,5
Café Triangle,5000 Rue Buchan Lobby 1,H4P 1T2,45.4978122,-73.6507698,168,4.7
Café Orchidée,4985 Av. Walkley,H4V 2M3,45.4671002,-73.6418223,0,
Élémentaire Café,6565 Av. Somerled,H4V 1T1,45.4672065,-73.6391337,102,4.4
Le Brûloir,318 Rue Fleury O,H3L 1V3,45.54363,-73.6675385,554,4.6
Cafe Restaurant,979 Blvd. Marcel-Laurin,H4M 2N3,45.5099561,-73.6870893,0,
Café Le VSL,753 Bd Décarie,H4L 3L3,45.5112908,-73.6776128,105,4.5
Cafe beyrouth,1470 Boulevard Cote Vertu Ouest,H4L 1Z7,45.5143575,-73.6822075,28,4.3
Transit Café,975 Blvd. Marcel-Laurin,H4M 2N3,45.5099223,-73.6870351,1,5
Café Les Bourrelets,908 Bd Décarie,H4L 3M4,45.5128791,-73.6809665,107,4.9
Studio 85,7445 Chem. de la Côte de Liesse,,45.4801223,-73.7007389,8,4.6
Chinchina Coffee Inc,9434 Ch de la Côte de Liesse,H8T 1A1,45.4717978,-73.7098343,0,
Lia's Cafe,1625 32e Avenue,H8T 3J1,45.4596005,-73.704915,0,
Expresso Bar,12245 Blvd. Laurentien,H4K 1N4,45.5289573,-73.7215661,268,4.5
Starbucks,3131 Boulevard Cote Vertu Ouest,H4R 1Y8,45.4975258,-73.7058882,377,3.8
Café De L'aréna,2345 Bd Thimens,H4R 1T4,45.5077312,-73.7008092,1,5
S&M Coffee Services,3512 Rue Ashby,H4R 2C1,45.4993161,-73.715322,4,4.8
Louza,4625 Boulevard Cote Vertu Ouest #104,H4S 1C8,45.4870595,-73.7179114,12,5
Café Chez Charlotte,4601 Rue de Verdun,H4G 1M6,45.4585494,-73.5719091,57,4
TAS Café Bistro Lounge,6300 Av du Parc,H2V 4H8,45.5265692,-73.6125959,37,4.8
Café-In,1375 Avenue Thérèse-Lavoie-Roux Campus MIL - Local B-0110.1,H2V 0B3,45.5228569,-73.619948,23,4.4
Second Cup Café avec Pinkberry yogourt glacé,1275 Av. Bernard,H2V 1V8,45.5196004,-73.6094307,177,4.2
Casa Pablo Boutique Café,50 Rue Jean-Talon O,H2R 2W7,45.5339318,-73.6188083,38,4.9
Café de la Gare,700 Boulevard René-Lévesque O,H3B 1X8,45.5014131,-73.5675083,8,4.4
"RUBY CAFÉ MTL, Pet Friendly Restaurant, Brunch Restaurant Montreal",3824 Rue Saint-Patrick,H4E 1A4,45.4689029,-73.5824396,146,4.4
Oliveraies Ktima Barakaris,6000 Rue Sherbrooke O,H4A 1X9,45.4683842,-73.6196325,287,4.7
La Finca café & marché local,1067 Rue de Bleury,H2Z 1N1,45.5046201,-73.5629504,1237,4.7
Micro Espresso Café,417 Rue Saint-Pierre Suite 102,H2Y 2M4,45.5015378,-73.5567052,217,4.9
Café Différance,449 Av. Viger O,H2Z 1G6,45.5026997,-73.5628155,325,4.7
Café C C,1440 Rue Stanley,H3A 1P7,45.4994483,-73.5748669,2,3
Café Nocturne,19 Rue Prince Arthur O,H2X 1S4,45.513585,-73.5729521,490,4.6
Café Van Houtte,1515 Sainte-Catherine O,H3G 2W1,45.495368,-73.577996,212,4
Club Social PS,"Parc Yamaska entrance, 5090A Notre-Dame St W",H4C 1T1,45.4698226,-73.5917437,65,4.7
Le Café Bloom,1940 Rue Centre,H3K 1J2,45.4822453,-73.5629676,699,4.5
Café Vienne,400 Av. Atlantic,H2V 4H9,45.5273481,-73.6165143,4,1
Café Lounge 5,67 Rue Jarry E,H2P 1T1,45.5399911,-73.6308921,36,3.7
Café DOMO,6712 Rue Clark,H2S 3E9,45.5314008,-73.6133224,51,4.3
Café Jardin,4437 Rue Wellington,H4G 1W6,45.459663,-73.567424,281,4.8
Restaurant le Café Fréjus,5810 Rue de Verdun,H4H 1L9,45.4492295,-73.5724152,534,4.7
La FOUMAGERIE - Sandwiches / Salads - Espresso / Coffee / Tea - Cafe en Vrac - Catering / Traiteur,4906 Rue Sherbrooke O,H3Z 1H3,45.4781115,-73.6041975,104,4.3
La Base Café Buvette,5898 Rue de Verdun,H4H 1M4,45.4483612,-73.5725059,82,4.8
Café Bénédictins,5511 Rue de Verdun,H4H 1K9,45.4523163,-73.572525,399,4.3
Café de la Maison Ronde,2330 Sainte-Catherine O,H3H 1N2,45.4892374,-73.5839007,69,4.6
Cordova,4606 Notre-Dame St W,H4C 1S4,45.473486,-73.587958,349,4.5
Café Komma Rosta,5300 Rue Wellington,H4H 1N2,45.4535531,-73.5677129,211,4.9
Starbucks,4943 Rue Sherbrooke O,H3Z 1H2,45.477537,-73.605416,547,4.1
