Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Bienvenue chez fusion,1439 R. Atateken,H2L 3L2,45.5179425,-73.5574678,134,3.9
Restaurant L'Escape,5167 Bd Décarie,H3W 3C2,45.4845101,-73.6301928,305,4.1
Restaurant Akwaba Fine Cuisine Fusion Africaine Et Grecque,4541 Rue Bélanger,H1T 1B7,45.569361,-73.583695,263,4.1
Les Délices De L'Ile Maurice,272 Rue Hickson,H4G 2J6,45.4648436,-73.5674475,158,4.5
Kwizinn Verdun,4030 Rue Wellington,H4G 1V3,45.4633302,-73.5667345,430,4.3
BIBIKO,31 R. St Viateur Est,H2T 1A5,45.5263542,-73.5987689,219,4.4
Marché d'Afrique,881 Rue Jean-Talon O,H3N 1S7,45.5257075,-73.6251989,101,3
Marché Ikaze,2040 Rue Lapierre,H8N 1B1,45.4366276,-73.6151312,9,4.9
Cap on Food,1651 Rue Ontario E,H2L 1S8,45.5252075,-73.560004,50,4.6
La Couscoussière d'Ali Baba,1679 Rue Sainte-Catherine E,H2L 4J6,45.5222795,-73.5528405,374,3.5
Restaurant DeCasa,854 Bd Décarie,H4L 3L9,45.5121146,-73.6798215,93,4.6
Mokili,93 Rue de Castelnau E,H2R 1P1,45.5365128,-73.619037,148,5
Palme,1487 Rue Sainte-Catherine E,H2L 2H9,45.5210222,-73.5540002,342,4.5
Comptoir Plaza Créole,6670 Rue St-Hubert,H2S 2M3,45.53736,-73.6061859,841,4.2
Marché Inter-Asia,4335 Rue Wellington,H4G 1W3,45.460471,-73.5673521,316,4.2
Marche Afrique St-Denis,7117 R. Saint-Denis,H2S 2S5,45.5382837,-73.6140556,181,4
Baguette Brochette Plateau,3800 R. Saint-Denis,H2W 2M2,45.5191565,-73.5728805,678,4.6
Ranjy’s Restaurant,15783 Boul. de Pierrefonds,H9H 3X6,45.4786837,-73.8677626,303,4.9
Restaurant L'atmosphère,2056 R. Saint-Denis,H2X 3K7,45.516139,-73.566219,0,
Le Baobab,5190-A Chem. de la Côte des Neiges,H3T 1X8,45.4954006,-73.6208153,76,4.3
Tropikàl Restobar,3426 Notre-Dame St W,H4C 1P2,45.4803592,-73.579076,521,4
Fourchètte Rouge,11503 Boul Gouin O,H8Y 1X7,45.5098481,-73.8190266,3,5
Goûter Tropical,8549 Bd Pie-IX,H1Z 3T9,45.5754562,-73.6109206,497,3.8
Restaurant Au Tarot,500 Rue Marie-Anne,H2J 2A3,45.5237694,-73.5796748,457,4.3
Restaurant Kay Wodja,5779 Chem. Upper Lachine,H4A 2B1,45.4677169,-73.611659,28,4
Menthe et couscous,361 Rue Émery,H2X 1J2,45.5148022,-73.5636565,1863,4.3
Nil Bleu,3706 R. Saint-Denis,H2X 3L7,45.518441,-73.5712123,1041,4.3
Restaurant Queen Sheba,4525 Av du Parc,H2V 4E4,45.5172167,-73.5899641,738,4.7
Restaurant Algérien Au Coin Berbère,73 Av. Duluth E,H2W 1G9,45.5177895,-73.5787475,229,4.3
Popo Restaurant Marché,10413 Bd Gouin O,H8Y 1W5,45.5105996,-73.8049513,2,4
Restaurant Pili-pili,1657 Av Dollard,H8N 1T7,45.4285976,-73.6297956,97,4
J&G SUYA SPOT & RESTOBAR,1484 Blvd. Shevchenko A,H8N 1P1,45.4308967,-73.6235987,69,4.4
Ayo Restaurant,9001 Rue Airlie,H8R 2A4,45.4209547,-73.6309862,92,4
East Africa Restaurant,5893 Rue Sherbrooke O,H4A 1X7,45.4689961,-73.6191672,314,4.4
MAM GRILLADES - Poulet BBQ - Seafood - Traiteur/Catering - Livraison/Delivery - Halal,133 Rue Jean-Talon O,H2R 2W9,45.533239,-73.619869,299,4.1
Farafina restaurant,12226 Blvd. Laurentien,H4K 2Y8,45.5276172,-73.7208308,4,5
l'afrique resto,5999 Av de Monkland,H4A 1H1,45.4715336,-73.6269267,0,
Restaurant Le Taliet,6152 Boul Gouin O,H4J 1E9,45.5300751,-73.7226937,64,4.4
Restaurant Gracia Afrika,3506 Notre-Dame St W,H4C 1P2,45.4802634,-73.5795617,100,4.2
MARCHÉ RELA AFRICAIN,925 Bd Décarie,H4L 3M3,45.5133834,-73.6810131,184,4.4
La Khaïma,142 Av. Fairmount O,H2T 2M5,45.5220275,-73.5960299,1109,4.2
Le Petit Senegal Inc,5178 Chem. Queen Mary,H3W 3E7,45.484622,-73.6278137,182,3.8
Grillade Lafirenzé Plus,5935 Rue St-Hubert,H2S 2L7,45.5341584,-73.5982928,227,3.5
Le Uptown,5265 Chem. Queen Mary,H3W 1Y3,45.4841806,-73.6289987,114,4.3
Restaurant African Ho Hé / Halal Montreal,5204 Chem. Queen Mary,H3W 3E7,45.4845245,-73.6281596,7,4.4
Le Virunga,851 Rue Rachel E,H2J 2H9,45.5240844,-73.5761953,264,4.6
Marmite Africaine Restaurant,1344 Av. Van Horne,H2V 1K8,45.5207663,-73.6143422,253,3.9
Restaurant L'atmosphère,451 Rue Rachel E,H2J 2H1,45.5225329,-73.5777053,63,3.7
30 Juin,1694 Rue Sainte-Catherine E,H2L 2J4,45.5222867,-73.5524777,305,4.2
Le Bled Resto Lounge,2112 R. Saint-Denis,H2X 3K9,45.5165691,-73.5671283,461,3.9
Saveur d'afrique,5920 Rue de Salaberry,H4J 1J8,45.5270198,-73.7130921,7,5
restaurant Mayicha,4830 Rue de Verdun,H4G 1N1,45.4571558,-73.571723,81,4.6
Hot Africa,4959 Chem. Queen Mary,H3W 1X4,45.4865251,-73.6270261,388,3.9
Maquis Yasolo,3763 Notre-Dame St W,H4C 1P8,45.4790187,-73.5824339,161,4.6
Chez Khady,850 Bd Décarie,H4L 3L9,45.5120547,-73.6797569,444,4.2
MARCHÉ LE BLED,755 Rue Jean-Talon E,H2R 1T9,45.5403673,-73.6136185,14,4.6
Épicerie Africaine de Montréal,1364 Rue Sauvé E,H2C 2A2,45.5588425,-73.6513489,6,4.3
La Belle Ciliana cuisine haïtienne,2490 Rue Bélanger,H2G 1E5,45.5519655,-73.5984878,48,3.9
Acajou BR,3425a R. Saint-Denis,H2X 3L1,45.5173942,-73.568005,595,4.5
Restaurant Elengi,7673 Av. Papineau,H2E 2H1,45.5510953,-73.6137988,0,
restaurant comme au pays,6476 Rue Beaubien E,H1M 1A9,45.5870147,-73.5608651,10,4.7
Simal Afro Fusion,1731 R. Saint-Denis,H2X 3K4,45.5157389,-73.5643195,87,4.4
MAISON OFLORE,511 Av. Duluth E,H2L 1A8,45.521974,-73.574881,197,4.7
Marché Botinda,4054 Rue Sainte-Catherine E,H1W 2G8,45.5480462,-73.5355081,50,4.1
Le Poke Station (Rue Emery),301 Rue Émery #101A,H2X 1J2,45.5143655,-73.5641088,18,4.7
Restaurant La Flamberge,5600 Boul Henri-Bourassa E,H1G 2T3,45.6052259,-73.6212914,636,3.9
Café 5 Juillet,3864 Rue Jean-Talon E,H2A 1Y7,45.5650296,-73.5924554,251,4
Antipode,1602 Avenue Laurier E,H2J 1H9,45.5351113,-73.5820662,222,4.7
Baguette Brochette St-Henri,3491 Notre-Dame St W,H4C 1P3,45.4801323,-73.5803141,143,4.3
Marché Webo,8632 Av. Chaumont,H1K 1N2,45.6097524,-73.5476383,127,3.9
Marchemarema,7432 A Rue St-Hubert,H2R 2N3,45.5422556,-73.6169,6,5
Marche EHI,1201 90th avenue,H8R 3A6,45.4287867,-73.6384688,114,4.5
Restaurant Siciliana,1264 Rue Stanley,H3B 2S7,45.4989493,-73.573139,754,3.9
Restaurant Grillades 243 Original,7180 Rue St-Hubert,H2R 2N1,45.5408127,-73.6137115,7,4.4
Restaurant Bébé Goût,6510 Rue Beaubien E,H1M 1A9,45.5878523,-73.5604207,213,3
Mémé-traiteur,1565 Rue de Louvain O,H4N 1G6,45.5321412,-73.662543,2,3.5
WAFRASIE - FestinAsiAfriCA,10289 Av. Papineau,H2B 2A1,45.5681887,-73.65302,13,4.8
Yasolo Épicerie Exotique,3763 Notre-Dame St W,H4C 1P8,45.4789618,-73.5824492,2,3
Rela langelier marché africain et grillade,6670 R. Sherbrooke E,H1N 3R9,45.5832296,-73.5422627,31,4.3
Signaar Saveurs Services Inc,7385 Av. Papineau,H2E 2G7,45.5495019,-73.6102438,14,4.9
Restaurant Adonaï,4797 Boul Henri-Bourassa E,H1H 1M4,45.6013884,-73.6362551,223,3.7
Traiteur Soleil d’Afrique,4454 Av. Bourbonnière,H1X 2M4,45.5529808,-73.5591503,47,4.6
Afrique Weliah,7607 R. Durocher,H3N 2A2,45.5307316,-73.628332,0,
Lloydie's St-Viateur,66 Rue Saint- Viateur O,H2T 2K8,45.5248783,-73.5996041,522,4.4
042 AFRO LOUNGE,1204 R. Bishop,H3G 2E3,45.4957122,-73.575166,36,4.4
Restaurant Afrodiziac,757 Rue Jean-Talon O,H3N 1S2,45.5267379,-73.6245893,4,3.5
Aliments Akagni,10330 Boul. Saint-Laurent,H3L 2P2,45.548501,-73.6653701,8,4.8
La Cuisine de Bunmi,3600 Rue Fullum,H2K 3P6,45.5346946,-73.5647083,52,5
Mbia Grill,2303 Rue des Ormeaux,H1L 4X2,45.6013696,-73.518935,43,5
Restaurant Lamp Fall,6855 Av. Victoria,H3W 2T3,45.4971671,-73.6435098,189,4.4
Le 24 Carats Glam Restaurant,5195 Boul. Saint-Laurent,H2T 1R9,45.5239696,-73.5945276,8,4.5
Afrique Weliah,522 Av. Ogilvy,H3N 1M8,45.5288386,-73.6252517,1,5
Restaurant Shacha,8049 R. Saint-Denis,H2R 2G2,45.5425683,-73.6283696,2,1
Détour chez Senan,6000 Boul Henri-Bourassa E,H1G 2T6,45.6061042,-73.616806,0,
Restaurant Fimo,7079 Rue Jarry E,H1J 1G3,45.6013416,-73.5765205,19,3.2
DJ POULET,1134 Av. Van Horne,H2V 1J8,45.5233882,-73.6120749,199,4.4
Le Platana 🇨🇮,361 Rue Bernard O,H2V 1T6,45.5234792,-73.6059034,63,4.6
Diolo Traiteur,232-B Rue Jean-Talon O,H2R 2X5,45.5320303,-73.6204156,465,4.4
Tropic-Leo,400 Rue Fleury O,H3L 1V7,45.5425895,-73.6682036,291,4
5 Fusions Inc,1256 Rue Jarry E,H2P 1X1,45.5494305,-73.6223689,0,
Mama Africa Beauty Supply,917 Rue Jean-Talon O,H3N 1S7,45.5254271,-73.6254904,647,4.2
Rites Berberes Restaurant,4697 Rue de Bullion,H2T 1Y8,45.5230505,-73.5877811,81,3.5
