Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Griot Plus,9111 Bd Maurice-Duplessis,H1E 6M3,45.6460869,-73.5706827,337,3.9
Marché Méli-Mélo Caraibe,640 Rue Jarry E,H2P 1V7,45.544689,-73.627554,533,4
Resto Flap Flap,5808 Rue de Charleroi,H1G 3B2,45.6046375,-73.6156781,474,3.8
Le Food Klüb restaurant lounge,4234 Rue Sainte-Catherine E,H1V 1X3,45.54969,-73.5345588,104,4.3
Kwizinn Verdun,4030 Rue Wellington,H4G 1V3,45.4633302,-73.5667345,430,4.3
Boom J's Cuisine,2026 Rue Wellington,H3K 1W5,45.4788148,-73.5586947,663,4.3
Le Jardin Du Cari,5554 Boul. Saint-Laurent,H2T 1S8,45.5258412,-73.5992299,203,4.4
Sucre d'Or Devel Inc.,4880 Rue de Charleroi,H1G 2Y7,45.5974302,-73.6297321,46,4.9
Aux Recifs Du Cap,5570 Rue Jean-Talon E,H1S 1L9,45.5818925,-73.5803033,0,
Le 409,409 Rue McGill,H2Y 2G3,45.5005004,-73.5576759,536,4.5
Foire Des Antilles (La),8505 Bd Saint-Michel,H1Z 3E7,45.56732,-73.6169592,40,4.2
Le Flamant,4043 Rue Ontario E,H1W 1T3,45.5498555,-73.5416723,258,4.7
McDonald's,9375 Bd Lacordaire,H1R 2B6,45.5992373,-73.6112198,2435,3.2
L'Épicerie Nouvelle Inc.,160 R. St Viateur Est,H2T 1X2,45.5270806,-73.59677,19,5
Restaurant Pastel,124 Rue McGill,H2Y 2E5,45.4995397,-73.5558586,385,4.7
Brasseur de Montréal,1485 Rue Ottawa,H3C 1S9,45.4896914,-73.5644677,496,4
XYZ Bistro Sportif,1999 Boul Henri-Bourassa E,H2B 2G1,45.5720271,-73.6578921,52,4
Jacopo,436 Pl. Jacques-Cartier,H2Y 3B3,45.507727,-73.5532787,1038,4.2
Pincette - Bar à Homard,94 Rue Saint-Paul E,H2Y 1G6,45.5064934,-73.5530161,292,4.2
On Mange Quoi,1717 Rue Berri,H2L 4E9,45.5167519,-73.5637182,1,5
Chef Paul Toussaint (Timeout Market Montréal),705 Sainte-Catherine O,H3B 4G5,45.502466,-73.5713041,87,4
Restaurant La Fièrte Des Isles,6805 Av Fielding,H4V 1P1,45.4659541,-73.6447339,25,5
Marché Webo,8632 Av. Chaumont,H1K 1N2,45.6097524,-73.5476383,127,3.9
Mango Bay,1236 Rue Mackay #201,H3G 2H4,45.4952177,-73.5762404,179,4.2
Seasoned Dreams,5509 Rue Laurendeau,H4E 3V9,45.4634318,-73.5880698,798,4.3
Marché d'Alimentation des Caraïbes Inc,2969 Rue Fleury E,H2B 1M3,45.5793264,-73.6445109,70,4.1
Palme,1487 Rue Sainte-Catherine E,H2L 2H9,45.5210222,-73.5540002,342,4.5
Bouillon de Saveurs,2291 Rue Fleury E,H2B 1K7,45.5736208,-73.6493214,65,4.5
Cantine Burgz,1243 Rue Charlevoix,H3K 2Z7,45.4789619,-73.5699153,160,4.7
Griot Express,5825 R. Sherbrooke E,H1N 1B3,45.5751529,-73.5482153,25,4.4
Restaurant Steve Anna,3302 Rue Bélanger,H1X 1A1,45.5578913,-73.5932144,614,4.1
Restaurant La Louisiane,5850 Rue Sherbrooke O,H4A 1X5,45.469291,-73.6179506,361,4.4
Chez Toutou Resto-bar,4310 Belanger Est,H1T 1A7,45.5668137,-73.5854101,123,4.3
Sous Le Palmier,2046 Rue Lapierre,H8N 2S2,45.4366435,-73.6154629,391,4.4
Traiteur Des Caraïbes Spicy Island,11695 Boul. de Pierrefonds,H9A 1A1,45.5065492,-73.8210467,0,
Vava Resto,4274 Boul Henri-Bourassa E,H1H 1L6,45.5973404,-73.6407578,64,5
Casse-croûte Sissi & Paul,2517 Rue Jean-Talon E,H2A 1T6,45.553933,-73.602052,562,4.7
Chef Jo,4274 a Boul Henri-Bourassa E,H1H 1L6,45.5973404,-73.6407578,84,4.9
La Belle Ciliana cuisine haïtienne,2490 Rue Bélanger,H2G 1E5,45.5519655,-73.5984878,48,3.9
Au goût tropical,8720 Rue Hochelaga,H1L 2M7,45.6015665,-73.5194725,279,3.9
Casserole Kreole,4800 Rue de Charleroi,H1H 1V4,45.5968355,-73.6307483,0,
Barbec Tropical,4696 Rue Jarry E,H1R 1X3,45.57731,-73.5970094,103,4.1
Goûter Tropical,8549 Bd Pie-IX,H1Z 3T9,45.5754562,-73.6109206,497,3.8
Soleil Creole,8123 Av. André Ampère,H1E 3J9,45.6361476,-73.5908365,4,3.5
Resto Cric Crac,9185 Bd Saint-Michel,H1Z 3G6,45.5729275,-73.6295226,66,4.2
La Bonne Bouffe Créole,3715 Rue Sainte-Catherine E,H1W 2E5,45.5445703,-73.5379982,286,3.7
Comptoir Plaza Créole,6670 Rue St-Hubert,H2S 2M3,45.53736,-73.6061859,842,4.2
Restaurant Adonaï,4797 Boul Henri-Bourassa E,H1H 1M4,45.6013884,-73.6362551,223,3.7
Gombo,3155 Rue Fleury E,H1H 2R2,45.5795244,-73.6443002,195,4
Sarah Cuisine Créole,6914 Av. Wilderton,H3S 2M5,45.5129689,-73.6307399,160,4.1
Le Tiboeuf,302 Rue Ontario E,H2X 1H6,45.5148358,-73.5654183,135,4.8
Restaurant Goûter Caraïbes,10795 Bd Pie-IX,H1H 4A9,45.5903423,-73.63639,362,4.1
Casserole Kréole,151 Rue de Castelnau E,H2R 1P3,45.536792,-73.6188427,246,4.6
MARCHÉ CASSE-CROUTE CRÉOLE,1486 Rue de l'Église,H4L 2H6,45.5116093,-73.6779049,42,4.5
Marlin Bleu Resto Lounge,900 Av. Duluth E,H2L 1B6,45.5233028,-73.5733833,271,4.4
