Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Vinh Hing,939 Bd Décarie,H4L 3M3,45.5135134,-73.6812339,170,4.3
Restaurant 2K Fusion,89 Rue Jean-Talon E,H2R 1S6,45.5356392,-73.6172845,252,3.2
Zone d'Asie,2106 Rue Jean-Talon E,H2E 1V3,45.5503327,-73.604593,298,4.1
Maison Shing Do 成都美食阁,910 Bd Décarie,H3L 3M4,45.512831,-73.680952,283,3.7
Atelier Asie,453 Av. Viger O,H2Z 2B8,45.502603,-73.562942,104,4
HÀ Mont-Royal,243 Avenue du Mont-Royal O,H2T 2T2,45.51775,-73.5888222,637,4.3
Man Li Restaurant,4991 Bd des Sources,H8Y 3E3,45.5078103,-73.8204775,132,3.6
Restaurant Thaïlande,88 Rue Bernard O,H2T 2J8,45.5262556,-73.6029853,645,4.3
Thaï Express Lachine,"le Village Lachine, 637 32e Avenue",H8T 3G6,45.440622,-73.692812,252,3.8
Montrose Restaurant,6550 Av. Somerled,H4V 1S9,45.4669372,-73.6387485,125,3.4
Restaurant Talay Thai,5697 Chem. de la Côte des Neiges,H3S 1Y7,45.4990385,-73.6274641,290,3.9
Pho Ong Rau,300 Rue Jarry E,H2P 1T7,45.5414288,-73.6296883,499,4.3
Sushi 426,340 Bd Henri Bourassa O,H3L 3C2,45.5454081,-73.673568,102,4.4
Les Bridés,10420 Rue Lajeunesse,H3L 2E5,45.5540019,-73.6644929,276,4.2
Le Red Tiger,1201 Boul. de Maisonneuve E,H2X 2A1,45.5192046,-73.557834,985,4.3
Thai Saigon,8774 Rue Lajeunesse,H2M 1R6,45.5467287,-73.6394135,93,4.2
Thaï Express,1995 Blvd. Marcel-Laurin,H4R 1K4,45.51889,-73.70021,121,3
La Belle Tonki,1335 Rue Beaubien E,H2G 1K7,45.5405424,-73.5994458,993,4.8
Sésame,380 Rue Saint-Jacques,H2Y 1S1,45.5019364,-73.559413,652,4.2
Tong Por Resto-Reception,12242 Blvd. Marcel-Laurin,H4K 1M9,45.5279258,-73.7214516,1011,3.9
Restaurant Kyomi Lasalle,7660 Bd Newman,H8N 1X8,45.4384922,-73.6227142,1309,4.3
Plats de Pâtes Hong Mère,3795 Rue Wellington,H4G 1V1,45.4659063,-73.5668467,418,4.3
Tiki Ming,"3131 boul Côte Vertu, 8 Place Vertu M",H4R 1Y8,45.497253,-73.704253,33,4.1
Restaurant Thanh Thảo,5145 Rue Jean-Talon E,H1S 1K8,45.577524,-73.583302,88,4.5
Restaurant Y Lan,6425 R. Saint-Denis,H2S 2R6,45.533918,-73.604488,411,4.4
La Maison Ho,1800 Rue Notre Dame,H8S 2E9,45.4352337,-73.6804245,217,3.6
Saveurs Thaï,13900 Boul. de Pierrefonds,H9A 1A8,45.492894,-73.849974,168,4.3
Restaurant Expression D'Asie Inc,595 Rue Provost,H8S 1M3,45.4418713,-73.6692161,149,3.7
Restaurant Yi Pin Xiang,735 Bd Décarie,H4L 3L3,45.5111798,-73.6774754,338,4
Wing Phat,4201 Rue Jarry E,H1R 1W9,45.5729146,-73.6017423,1899,4.4
Thai Express Restaurant Pierrefonds,"Plaza Pierrefonds, 14850 Boul. de Pierrefonds",H9H 4Y6,45.483832,-73.858677,155,3.5
Peking Garden Restaurant,4794 Boul. Saint-Jean,H9H 5G9,45.4888033,-73.8507418,386,3.6
Dumpling King,4559 Bd Saint-Charles,H9H 3C7,45.4632098,-73.8699469,150,4.4
Asie Moderne,1676 Rue Poirier,H4L 1J3,45.5193033,-73.6973964,239,4.2
Nouveau Maison Kam,11779 Boul. de Pierrefonds,H8Z 1V6,45.507426,-73.822323,236,3.7
Pho Binh,4886 Bd Saint-Charles,H9H 3E2,45.4667271,-73.8749832,558,4.4
Phở Mymy,9460 Bd de l'Acadie,H4N 1L7,45.533974,-73.660283,906,4
C-Dumpling & Pho,8567 Boul. Saint-Laurent,H2P 2M9,45.5411521,-73.6384884,129,4.7
Restaurant Chez Tau Bay,745 Rue Jean-Talon E,H2R 1T9,45.5403241,-73.613649,178,4.2
Foo Lam Restaurant Maison,9394 Bd de l'Acadie,H4N 3H1,45.5334634,-73.6588028,510,3.4
Sama fusion,945 Rue Fleury E,H2C 1P5,45.5575701,-73.6596512,286,4.3
Thaï Express/Cultures,"Marché Central, 1023 Rue du Marché Central",H4N 1J8,45.534558,-73.65973,306,3.2
Le Bay Cà Phê,5263 Boul. Saint-Laurent,H2T 1S4,45.5244958,-73.5957079,379,4.6
Sushi Shop,3830 Bd de la Côte Vertu,H4R 1P8,45.492157,-73.709819,133,3.9
Bistro Isakaya,8178 Bd Champlain,H8P 1B4,45.4251356,-73.6126479,224,4.6
Thaï Express,8780 Boul. Saint-Laurent,H2N 1M4,45.541797,-73.643383,170,3.7
Thai Express Restaurant Lasalle,7077 Boul Newman Carrefour Angrignon,H8N 1X1,45.448198,-73.6152801,64,3.4
Restaurant Noodle Factory,1018 Rue Saint-Urbain,H2Z 1K6,45.5067346,-73.5607787,1132,4.3
La Petite Dînette,4186 R. Saint-Denis,H2W 2M5,45.5215845,-73.5780521,142,4.3
Chez Tomio,5161 Av. Papineau,H2H 1W1,45.5361224,-73.5812491,203,4.3
Thai Express Restaurant Lasalle,8071 Bd Newman,H8N 2N9,45.435009,-73.62768,141,3.4
Kam Shing Van Horne Restaurant,4771 Av. Van Horne,H3W 1H8,45.4947932,-73.637542,660,4.3
Thaï Express,5259 Rue Sherbrooke O,H4A 1V1,45.474673,-73.608659,233,3.4
Pekin Garden Restaurant,5255 Chem. Queen Mary,H3W 1Y3,45.484244,-73.629012,374,3.6
Chopstix Restaurant,325 Boul Henri-Bourassa E,H3L 1C2,45.5534063,-73.6694844,106,3.6
Qing Hua - Raviolis Chinois (Quartier Chinois et Boul. Saint-Laurent),1019 Boul. Saint-Laurent,H2Z 1J4,45.508143,-73.559573,1883,4.2
Sammi & Soup Dumpling CDN,5188 Av. Gatineau,H3T 1W9,45.4961831,-73.6199107,78,4.7
MajesThé Bistro Bar,2077 Blvd Robert-Bourassa,H3A 2M3,45.5048275,-73.5727648,530,4.3
Sammi & Soupe Dumpling,1909 Sainte-Catherine O,H3H 2E8,45.4926923,-73.5807852,2435,4.4
Thammada,1205 Av. Bernard,H2V 1V5,45.5205192,-73.6087322,340,4.5
Chez Chen,1618 Av. Lincoln,H3H 2L8,45.4958409,-73.5803556,278,4.2
Thaï Express,5660 Chem. de la Côte des Neiges,H3T 1Z2,45.49798,-73.626823,200,3.1
Buffet Chinois Mandarin,2101 Av Dollard,H8N 1S2,45.432696,-73.6341248,644,2.8
"Happy Lamb Hot Pot, Montréal 快乐小羊",50 Rue De La Gauchetière O,H2Z 1C1,45.5075497,-73.5602406,1378,4.1
Pho Maisonneuve,948 Boul. de Maisonneuve E,H2L 1Z1,45.5174403,-73.5588836,176,3.9
Bangkok Express,5645 Av de Monkland,H4A 1E2,45.4753247,-73.6233058,645,3.9
Hoàng Oanh Sandwich Vietnamien,7178 R. Saint-Denis,H2R 2E2,45.5382729,-73.6150659,200,4.5
Dumpling Shop,5674 Av de Monkland,H4A 1E4,45.4746153,-73.6233327,143,4
Amigo Restaurant,1027 Boul. Saint-Laurent 2nd floor,H2Z 1J4,45.5082343,-73.5596082,430,4.4
Dak Hing Barbecue,4705 Av. Van Horne,H3W 1H8,45.4952421,-73.6371092,211,4.7
Tiki-Ming,"Carrefour Angrignon, 7077 Newman Blvd F-10",H8N 1X1,45.447696,-73.615538,43,1.6
Restaurant Itamea,1283 Rue Beaubien E,H2S 1V1,45.539729,-73.599901,283,4
Panda Thai,783 Avenue du Mont-Royal E,H2J 1W8,45.5259771,-73.581489,191,3.8
Wok Cafe,1845 Sainte-Catherine O,H3H 1M2,45.4932398,-73.5801484,898,4
Super Noodles,5397 Chem. de la Côte St Luc,H3X 2C3,45.4796105,-73.6241843,140,3.9
Chez Ping Restaurant,6222 Bd Monk,H4E 3H7,45.4565497,-73.5951153,197,4
Kum Mon Restaurant,6565 Chem. de la Côte des Neiges,H3S 2A5,45.5024307,-73.6350453,208,3.4
Pho 88 Restaurant,5136 Bd Décarie,H3X 2H9,45.4836111,-73.63,762,4.1
Jatoba,1184 R. du Square-Phillips,H3B 3C8,45.5032786,-73.567343,1081,4.5
Restaurant Étoile Rouge,6707 Boul. Saint-Laurent,H2S 3C8,45.5320208,-73.6121576,357,4.1
Café Asia,1828 Avenue du Mont-Royal E,H2H 1J1,45.5332279,-73.5741484,224,3.6
Tao Restaurant,4242 Bd Décarie,H4A 3K3,45.4788312,-73.6193884,108,3.8
MAYHEM SAVEURS ASIATIQUES,"H2j2l2, 4433 Saint Denis St",H2J 2L2,45.5236775,-73.5818662,143,4.7
Sésame,305 Sainte-Catherine O,H2X 2A3,45.5067299,-73.5668181,1215,4
Thaï Express,5510 Rue Jean-Talon O,H4P 2T5,45.492213,-73.655338,247,3.6
Tampopo,4449 Rue de Mentana,H2J 3B4,45.526886,-73.579531,571,4.1
Chez Lien,8171 Bd Newman,H8N 1Y1,45.433952,-73.6287555,215,3.9
Sésame,141 Av. Atwater,H3J 2Z6,45.4795936,-73.575661,473,4
Jardin Du Cerf,1162 Boul. Saint-Laurent,H2X 2S5,45.508857,-73.562068,341,4.3
Gia Ba,5766 Av de Monkland,H4A 1E9,45.4735786,-73.6243941,244,4.2
Restaurant Lyla,431 Rue Jean-Talon O,H3N 1R3,45.5294332,-73.6229661,578,4.3
Fang Chi,3967 Rue Saint-Antoine O,H4C 1B7,45.479945,-73.587611,210,4.1
Mei Le Café Chinois,5309 Boul. Saint-Laurent,H2T 1A5,45.5246803,-73.5960054,282,4.4
Chef Foo,4715 Av. Van Horne,H3W 1H8,45.4952778,-73.6372222,148,4.2
Le Taklamakan,7401 Newman Blvd A35,H8N 1X3,45.4407972,-73.6214825,199,4.5
Oriental Fusion,"Sous-Sol, 7373 Bd Décarie",H4P 2G8,45.4946291,-73.6518564,109,3.8
East Pan Asiatique Cuisine et Bar,"1250, Boulevard Robert-Bourassa, Street Level",H3B 3B8,45.5027778,-73.5694444,288,4.3
