Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Souvlaki George™,6995 Av de Monkland,H4B 1J8,45.4599081,-73.6369885,785,4.1
La Maison Grecque,450 Av. Duluth E,H2L 1A5,45.5213236,-73.5752217,888,4.2
Ouzeri,4690 R. Saint-Denis,H2J 2L3,45.525,-73.5855557,728,4.4
Resto Molyvos Previously Lezvos (Mediterranean Cuisine),4235 A Bd Décarie,H4A 3K4,45.4790945,-73.6190609,27,4.1
Restaurant Nikas,6087 Rue Sherbrooke O,H4A 1Y1,45.467855,-73.621408,285,3.7
Elounda Restaurant,1818 Boulevard Cote Vertu Ouest,H4L 2A6,45.5105642,-73.6870348,580,4.4
Oliveraies Ktima Barakaris,6000 Rue Sherbrooke O,H4A 1X9,45.4683842,-73.6196325,287,4.7
Casa Réceptions,13081 Boul Gouin O,H8Z 1X1,45.5035845,-73.8416829,185,4
Restaurant Chez La Mère,4028 Rue Masson,H1X 1T8,45.5584873,-73.5685987,1119,3.5
Le Roi du Smoked Meat,6705 Rue St-Hubert,H2S 2M7,45.5379828,-73.6066307,1533,4.1
Restaurant Deli Plus,7690 Av. Papineau,H2E 2H2,45.5508848,-73.6144967,1183,4
Nouveau Système Beaubien,323 Rue Beaubien E,H2S 1R9,45.5331441,-73.6059842,446,4.4
Le Vieux St-Laurent,3993 Boul. Saint-Laurent,H2W 1Y4,45.5168261,-73.5787562,683,4.5
Restaurant Salonica,5261 R. Saint-Denis,H2J 2L8,45.5280837,-73.5915598,279,3.1
La Ligne Rouge,Rue Jean-Talon E,H2R 1T7,45.5387502,-73.6138414,697,4.3
Restaurant Ikanos,112 Rue McGill,H2Y 2E5,45.4994848,-73.5555416,529,4.3
Athena Pizzeria,10421 Boul Gouin O,H8Y 1W6,45.5111215,-73.806902,296,4.4
Sparta Chicken (St Catherine),4024B Sainte-Catherine O,H3Z 1P2,45.4885577,-73.5851112,0,
Restaurant Au Vieux Duluth Saint-Laurent,1997 Blvd. Marcel-Laurin,H4R 1K4,45.5189037,-73.7006436,444,4
Jardin Du Souvlaki,5115 Rue de Salaberry,H4J 1J2,45.5318238,-73.7079283,0,
Casa Grecque,7218 Bd Newman,H8N 1X2,45.442273,-73.615885,1685,3.9
Ilion,5999 Av de Monkland,H4A 1H1,45.4715336,-73.6269267,12,4.9
Restaurant Limeni,5942 R. Sherbrooke O.,H4A 1X7,45.4685744,-73.6191328,0,
Sparta Poulet Grec,405B R. Sherbrooke E,H2L 1J9,45.5172006,-73.5676598,490,4.3
Restaurant Zante,1112 Rue Sherbrooke O,H3A 1G9,45.5014047,-73.5766767,291,4.4
Usine Grecque Le Village,1345 Rue Ontario E,H2L 1R8,45.5228704,-73.5615001,177,4
Souvlaki Authentique Lachine,1050 Rue Notre Dame,H8S 2C2,45.4350502,-73.673021,117,4.6
Casa Grecque,200 Rue Prince-Arthur E,H2X 1B9,45.515872,-73.570836,896,3.9
Philinos Restaurant,4806 Av du Parc,H2V 4E7,45.5181835,-73.5929208,414,4.4
Petros Griffintown,1613 Rue William,H3J 1R1,45.4889822,-73.5655532,238,4.1
