Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Susanna Trattoria,4563 Bd Saint-Charles,H9H 3C7,45.4632164,-73.8699826,89,4.6
Vivaldi,13071 Boul Gouin O,H8Z 1X1,45.5037181,-73.8414138,698,4.5
Tevere Express,4920 Boul. Saint-Jean,H9H 4B2,45.4910633,-73.8518974,80,3.6
Restaurant Casa Mare Enrg,15714 Boul. de Pierrefonds,H9H 3P6,45.4794193,-73.8653419,261,4.3
Pizza 2 Pour 1,3b Rue du Centre Commercial,H8Y 1N8,45.5103092,-73.8067876,177,3.9
Mamma's Restaurant Pizzeria,1805 Av. O'Brien,H4L 3W6,45.5233173,-73.6909585,505,4.1
Coronet Pizza,1671 Rue Poirier,H4L 1J2,45.5196677,-73.697455,208,4.6
Restaurant Il Boccalini,1408 Rue de l'Église,H4L 2H4,45.5122301,-73.6770437,216,4.2
Restaurant Du Collège,1475 Rue du Collège,H4L 2L8,45.5097276,-73.6749874,311,4.2
Restaurant Lucca,12 Rue Dante,H2S 1J5,45.5328814,-73.6135204,428,4.8
La Marinara,1218 Rue Stanley,H3B 2S7,45.4986232,-73.5722892,245,4.2
Pizza Il Focolaio,1223 R. du Square-Phillips,H3B 3E9,45.504014,-73.56821,4991,4.6
"Pizzeria NO.900 - Monkland, Montréal",5611 Av de Monkland,H4A 1E2,45.4755675,-73.6230587,681,4.2
Café Il Cortile,1442 Rue Sherbrooke O,H3G 1K4,45.497805,-73.5802463,293,4.2
Pasquale Restaurant Pizzeria,7001 Bd de la Vérendrye,H4E 3R9,45.4486202,-73.5897561,336,4.3
Pizza Welat,6509 Av. Somerled,H4V 1S7,45.4678213,-73.6386758,362,4.1
Fiorellino (Centre-Ville),470 Rue De La Gauchetière O,H2Z 1E3,45.5028652,-73.5635208,1495,4.1
La Medusa,1218 Rue Drummond,H3G 1V7,45.4979333,-73.5731121,425,4
Da Vinci Restaurant / Ristorante Da Vinci,1180 R. Bishop,H3G 2E3,45.4956322,-73.5747077,490,4.4
Atlas Pizza ndg,6555 Av. Somerled,H4V 1S9,45.4673173,-73.6390258,275,3.5
Kesté,275 Av. Fairmount O,H2V 0A1,45.5209321,-73.5974551,647,4.3
Fiorella,980 Boul. de Maisonneuve Ouest O,H3A 1M5,45.5016893,-73.5736656,171,4
Beatrice,1504 Rue Sherbrooke O,H3G 1L3,45.4970194,-73.5810282,1091,4.4
Restaurant Siciliana,1264 Rue Stanley,H3B 2S7,45.4989493,-73.573139,754,3.9
Drogheria Fine,68 Av. Fairmount O,H2T 2M2,45.5229987,-73.595104,788,4.5
"Pizzéria NO.900 - Fleury, Montréal",1021 Rue Fleury E,H2C 1P8,45.558075,-73.659359,686,4.1
Artigiani,4657 R. Saint-Denis,H2J 2L5,45.524973,-73.5847663,658,4.4
Pizzeria Dei Compari,1668 R. Saint-Denis,H2X 3K4,45.5149925,-73.5637476,2033,4.5
Pizzeria Napoletana,189 Rue Dante,H2S 1K1,45.5343792,-73.612602,3179,4
Trattoria Trestevere,1237 Rue Crescent,H3G 2B1,45.4969811,-73.5748906,313,4.5
Barcola Bistro Audio - Audio Foodies - Italian Restaurant - Tasting Menu,5607 Av du Parc,H2V 4H2,45.5227766,-73.602948,176,4.6
Restaurant Tre Marie,6934 Rue Clark,H2S 3G2,45.5325778,-73.6158783,256,4.2
Il Pagliaccio,"Canada, 365 Av. Laurier O",H2V 2K5,45.5193568,-73.5962759,130,4.6
Gema Pizzeria,6827 Rue Saint-Dominique,H2S 3B1,45.5333468,-73.6129903,1111,4.5
Pizza Nino,6588 Bd Monk,H4E 3J1,45.453026,-73.5937942,546,4.4
Pizzédélic Monkland,5556 Av de Monkland,H4A 1E1,45.475959,-73.6222029,316,4
Riventino,7 8e Avenue,H8P 2M6,45.4285928,-73.5950528,182,4.5
Pizza Giuseppe,1460 Av Dollard,H8N 1T4,45.4266663,-73.6275889,380,4
Pendeli's Pizza,5599 Chem. de la Côte St Luc,H3X 2C9,45.4785648,-73.6290139,471,4.2
Kings Pizza,598 Rue Victoria,H8S 1Y6,45.4380682,-73.6691517,78,3.8
Pizzeria Redipizza,2074 Rue Thierry,H8N 2N8,45.4366667,-73.6266611,215,4.7
Il Miglio,5235 Boul. Saint-Laurent,H2T 1S4,45.5243401,-73.5951136,198,4.5
Bacaro Pizzeria - Monkland,5950 Av de Monkland,H4A 1G8,45.4716464,-73.6262112,536,3.9
Luciano Trattoria,1212 Rue Saint-Zotique E,H2S 1N5,45.5403247,-73.6038394,375,4.8
Martini Pizzeria,9481 Rue Lajeunesse,H2M 1S5,45.5503452,-73.6509733,424,4.2
Le Petit Italien,1265 Rue Bernard O,H2V 1V9,45.5197383,-73.6092604,211,4.3
Primo & Secondo,7023 Rue Saint-Dominique,H2S 3B6,45.5344664,-73.615481,159,4.6
Elio Pizzeria,351 Rue de Bellechasse,H2S 1X1,45.5320694,-73.6026667,2099,4.4
Brama - Usine à bouffe,9850 Rue Saint-Urbain Local 101,H3L 2T2,45.5449878,-73.6603738,152,4.9
Pizza Motta Restaurant & Catering,303 Av. Mozart E,H2S 2V8,45.536249,-73.6133589,855,4.3
Restaurant Corneli,6741 Boul. Saint-Laurent,H2S 3C7,45.532248,-73.612363,2035,4.4
Café Via Dante,251 Rue Dante,H2S 1K3,45.5350161,-73.611951,163,4.6
Il Bazzali,285 Rue Beaubien E,H2S 1R7,45.532834,-73.606244,632,4.5
Restaurant Moccione,7495 R. Saint-Denis,H2R 2E5,45.540075,-73.6199398,425,4.9
Trattoria Mario,5545 Chem. Upper Lachine,H4A 2A5,45.4701353,-73.6082217,211,4.6
Impasto,48 Rue Dante,H2S 1J6,45.5331078,-73.613192,561,4.3
Trattoria Cinecitta,5220 Bd Décarie,H3X 3Z6,45.4845485,-73.6320967,210,4.4
Artisan de la pasta,1383 Av Dollard,H8N 1T3,45.426783,-73.626009,147,5
Trans Canada Pizzeria & Submarine,880 Rue Notre Dame,H8S 2B7,45.435011,-73.6715026,238,4
Al Dente Trattoria,5768 Av de Monkland,H4A 1E9,45.4735942,-73.6243961,328,4
Bocci Restaurant Bar Lounge,1756 Av Dollard,H8N 1T8,45.4288214,-73.6318866,986,4.1
Pasta Casareccia,5849 Rue Sherbrooke O,H4A 1X4,45.4695396,-73.6182876,510,4.4
La Campagnola,1708 Av Dollard,H8N 1T8,45.4285447,-73.6311595,658,4.5
Bistro Amerigo,6127 Av de Monkland,H4A 1H5,45.4700905,-73.6281285,622,4.7
Expresso Bar,12245 Blvd. Laurentien,H4K 1N4,45.5289573,-73.7215661,268,4.5
Restaurant Per Te,371 Rue Guizot E,H2P 2G9,45.5431391,-73.6327092,111,4.7
Restaurant Matterello,6950 R. Saint-Denis,H2S 2S4,45.5370914,-73.6121816,99,4.5
Restaurant La Piccola,2050 Rue Fleury E,H2B 1J3,45.5705889,-73.6514133,388,4.2
Pasta Express,1501 Rue Fleury E,H2C 1S5,45.5627225,-73.6566164,537,4.2
Blandino,6939 Bd Décarie,H3W 3E4,45.492908,-73.6487887,175,4.3
Restaurant La Molisana,1014 Rue Fleury E,H2C 1P7,45.557943,-73.6591053,427,3.8
Toto,1380 Rue Notre Dame,H8S 2C8,45.4350774,-73.6763569,398,3.8
Andrea Ristorante Lachine,3194 Bd Saint-Joseph,H8S 2P4,45.4339641,-73.691874,322,3.7
2M Pizza Dorval - Online order !,419 Av. Bourke,H9S 3W8,45.4451585,-73.721367,459,4.3
PASTA ANDREA,1718 Bd Saint-Joseph,H8S 2N2,45.432881,-73.679989,823,4.1
Taormina lounge,2530 Bd Saint-Joseph,H8S 2N9,45.4343279,-73.6867122,484,4.5
Café Gentile,9299 Av du Parc,H2N 2A2,45.5383638,-73.6544177,1033,4.5
Il Fornetto,1900 Bd Saint-Joseph,H8S 2N5,45.4331696,-73.6815857,1085,4.3
Giulietta Pizzeria Marché Central,951 Bd Crémazie O,H4N 3M5,45.5321177,-73.6487142,104,4.2
Restaurant Pasta Bar,230 Rue Chabanel O,H2N 1V5,45.5406357,-73.6529483,161,4.6
Resto Bar Damiano,719 Bd Décarie,H4L 3L4,45.5110918,-73.6773759,119,4.1
Trattoria La Villetta,1898 Bd Thimens,H4R 2K2,45.5123447,-73.6932531,189,4.3
Ottavio Ville Saint-Laurent,1134 Blvd. Marcel-Laurin,H4R 1J7,45.510127,-73.689835,1177,4.1
Birreria ITALI.CO,3131 Boulevard Cote Vertu Ouest,H4R 1Y8,45.4979517,-73.7054538,1070,4
Place Tevere,3131 Boulevard Cote Vertu Ouest,H4R 1Y8,45.4985295,-73.7072325,70,4.2
Station Pizza Moderne,5393 Boul Gouin O,H4J 1C7,45.534233,-73.7165679,301,4.7
Ristorante Il Cenone,6419 Boul Gouin O,H4K 1A9,45.529176,-73.7246516,184,4.1
Restaurant La Piazza,2525 Rue des Nations,H4R 3C8,45.5129511,-73.7121246,189,4.5
Restaurant Vino Rosso,5291 Bd Henri Bourassa O,H4R 1B7,45.5206309,-73.7109869,257,4.7
Serano Pizzeria,455 Av. Lafleur,H8R 3H8,45.433128,-73.6456948,414,4.3
Restaurant Crescendo,5150 Bd LaSalle,H4G 3G2,45.4547348,-73.5639343,1342,4.2
Pizza Pinoli,5524 Av de Monkland,H4A 1C7,45.4763753,-73.6218732,225,3.5
Pizza Mia (Marché Atwater),140 Av. Atwater,H4C 2G3,45.4795961,-73.5768235,145,4.3
Pizzeria Geppetto Notre-Dame,2504 Notre-Dame St W,H3J 1N5,45.4827271,-73.5753154,682,4.2
Osteria mkt,1333 Blvd Robert-Bourassa,H3A 1T9,45.5038213,-73.5707385,329,4.5
Pizzéria NO.900 - Verdun,4578 Rue Wellington,H4G 1W8,45.4585235,-73.5672751,304,4.4
La casina,5314 Av du Parc,H2V 4G7,45.5209241,-73.5998767,202,4.3
Maiolo Montreal,1800 Rue Sherbrooke O,H3H 1E5,45.495393,-73.582302,115,4.4
Brigade Pizzeria Napolitaine,1428 Rue Stanley,H3A 1P7,45.4995395,-73.5744414,1404,4.2
Place Tevere,"800 DE, Rue De La Gauchetière O",H5A 1K6,45.4994684,-73.5666175,7,2.7
Fiorellino (Notre-Dame),2472 Notre-Dame St W,H3J 1N5,45.4830404,-73.5748611,144,4.1
L'Académie,2100 Rue Crescent,H3G 2B8,45.498243,-73.578266,908,3.6
Cuisine Locale Cafe,5795 Chem. Upper Lachine,H4A 2B1,45.4675868,-73.611723,178,4.9
Patzzi,1 Pl. Monseigneur Charbonneau,H3B 2B6,45.5014758,-73.5692531,14,4.4
Pizza 88 Express,6694 Av Fielding,H4V 1N5,45.4669146,-73.6435507,111,3.9
Flying Pizza,2527 Rue Centre,H3K 1J8,45.4788574,-73.568997,0,
Conceria,3580 Notre-Dame St W,H4C 1P4,45.4797894,-73.580386,174,4.5
Pizza Max,"Le Faubourg Sainte Catherine, 1616 Saint-Catherine St W",H3H 1L7,45.493982,-73.5787514,0,
Domino's Pizza,2190 Av Dollard,H8N 1S6,45.4313168,-73.6361333,402,3.6
Ristorante Quattro,17 Notre-Dame St W,H2Y 1S5,45.5058682,-73.5560493,509,4.4
Parma café,1202 R. Bishop,H3G 2E3,45.4957744,-73.575097,522,4.5
Aria,700 Rue De La Gauchetière O,H3B 4L1,45.5010146,-73.5644801,197,3.8
Pizzeria Moretti Griffintown,1059 Rue Wellington,H3C 1V6,45.4936111,-73.5575,1664,3.6
L'Usine de Spaghetti,273 Rue Saint-Paul E,H2Y 1H2,45.5081871,-73.5522983,2073,4.4
Mano Cornuto,988 Rue Ottawa,H3C 1S3,45.4951136,-73.558456,763,4.5
