Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Arriba Burrito,1593 R. Saint-Denis,H2X 3K3,45.5148362,-73.5625513,496,4.5
Tejano BBQ burrito,511 Rue de Courcelle,H4C 3C1,45.4729837,-73.5890729,698,4.4
Restaurant Tex Mex,2212 Rue Saint-Germain,H1W 2T7,45.5425527,-73.5502215,304,3.9
Quesada Burritos & Tacos,4078 Rue Wellington,H4G 3M6,45.463086,-73.5667439,194,3.9
Mexigrill Express,3499 Boul. Saint-Laurent,H2X 2T6,45.5133002,-73.5709429,150,3.4
M4 Burritos Concordia,1530 Boul. de Maisonneuve Ouest,H3G 1N1,45.4960622,-73.5787922,281,4
Barraca Rhumerie,1134 Avenue du Mont-Royal E,H2J 1X8,45.5283146,-73.5785428,927,4.2
Marché El Palacio,13864 R. Sherbrooke E,H1A 3Z4,45.6673474,-73.505,113,4.7
La Chilenita,130 Rue Roy E,H2W 1L9,45.51655,-73.5747027,423,4.6
Alejandro,1481 R. Atateken,H2L 3L2,45.5180752,-73.5580498,215,4.6
Supermarché Sabor Latino,6955 Rue St-Hubert,H2S 2N1,45.539548,-73.6100371,2398,4.4
Tortilleria Maya,7016 Av. Casgrain,H2S 3A2,45.5347635,-73.6150038,21,4.1
Fusion Latino,3336 Rue Ontario E,H1W 1P7,45.5426453,-73.5461982,366,4.7
Escondite,3715 Rue Wellington,H4G 1V1,45.466716,-73.5667964,0,
Pancho,6939 Bd Décarie,H3W 3E4,45.492908,-73.6487887,39,4
Mucho Burrito Fresh Mexican Grill,150 Sainte-Catherine O,H2X 3Y2,45.507822,-73.5644126,149,3
TACO TRUNP,388 Rue Saint-Zotique E,H2S 1L7,45.535198,-73.6085649,390,4.7
Calaveras,2040 Rue Beaubien E,H1G 1M4,45.545362,-73.5944615,689,4.3
EL REY DEL TACO EXPRESS - Resto Mexicain - Takeout / Delivery - Terrasse,15 Rue Saint- Viateur O,H2T 2K7,45.5255887,-73.5992921,15,4.9
Restaurant Mañana,3605 R. Saint-Denis,H2X 3L6,45.5180023,-73.5693334,223,4.3
Mr. Azteca,7349 Rue St-Hubert,H2R 2N4,45.541888,-73.6155277,956,4.3
La Selva restaurant mexicain,862 Rue Marie-Anne,H2J 2A9,45.5252666,-73.5782787,331,4.5
El Meson,1678 Bd Saint-Joseph,H8S 2N1,45.4327132,-73.6794806,1156,4.5
TACOS DON RIGO,4740 Boul. Saint-Jean,H9H 4B2,45.4878911,-73.8502231,538,4.4
Les Soeurs Grises - Bistro-Brasserie,32 Rue McGill,H2Y 3W5,45.4988882,-73.5537352,673,4.1
Brasserie des Rapides,"Place Lasalle, 7852 Champlain Blvd",H8P 1B3,45.4266917,-73.609975,1483,4.3
La Boulette,2223 Rue Beaubien E,H2G 1M8,45.5465864,-73.5937513,1454,4.5
Au Cochon Fou,7848 Bd Champlain,H8P 1B3,45.4266441,-73.6095727,156,4.1
Lola Rosa Milton,545 Rue Milton,H2X 1W5,45.5073078,-73.5757826,1537,4.5
786 Restaurant Halal,12172 Blvd. Laurentien,H4K 1M9,45.5272006,-73.7188648,95,4.1
Diablos BBQ,17 Rue Prince-Arthur E,H2X 1B2,45.5143013,-73.5724039,1065,4
Chicho's,6580 Boul. Saint-Laurent,H2S 3C6,45.5311665,-73.6108171,194,4.2
Azalea,4306 R. Saint-Denis,H2J 2K8,45.5224257,-73.5799502,62,4.9
La Dinette MTL,7066A R. Sherbrooke E,H1N 1E6,45.5874704,-73.5398617,302,4.6
