Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Poulet Rouge Côte-des-Neiges,5520 Chem. de la Côte des Neiges,H3T 1Y9,45.4972231,-73.6249813,285,4.4
Exo Fruits,5192 Chem. de la Côte des Neiges,H3T 1X8,45.4954819,-73.620811,396,4.4
Piri Piri Côte des Neiges,5480 Chem. de la Côte des Neiges,H3T 1Y7,45.4970131,-73.6241784,613,3.9
Ketoza,5025 Rue Paré,H4P 1P4,45.498805,-73.6526032,0,
Santa Barbara,6696 Rue de Saint-Vallier,H2S 2P7,45.5361236,-73.6077774,485,4.4
Ten Restaurant,11655 Boul Gouin O,H8Y 1Y4,45.5088799,-73.8213719,271,4.4
Rejuice! - Bar à Jus /Smoothies/ Salades,5211 Rue Sherbrooke O,H4A 1T7,45.475254,-73.608176,185,4.2
Restaurant DeCasa,854 Bd Décarie,H4L 3L9,45.5121146,-73.6798215,93,4.6
OK Poké,75 Av. Shamrock,H2S 1A5,45.535105,-73.6161219,213,4.6
Le Petit Sao (île des soeurs),"Centre Commercial Le Village, 40 Pl. du Commerce #20",H3E 1J6,45.4667273,-73.5424634,420,4.3
À VOTRE SANTÉ - Epicerie Santé - Marché Bio Organic Vegane - Tea Shop - Cafe en Vrac - Cosmetics,5126 Rue Sherbrooke O,H4A 1T1,45.4758605,-73.6067585,86,3.9
Délices du jardin/Garden's delish,617 Rue St Rémi,H4E 3C6,45.4717372,-73.5928722,1,4
Yuzu sushi express Jean-Talon O,5055 Rue Jean-Talon O,H4P 1W7,45.4962648,-73.6512366,14,4.5
Bowled,5476 Chem. Queen Mary,H3X 1V6,45.4815015,-73.6306782,9,4.8
Cultures,1500 Av. McGill College,H3A 3J5,45.50234,-73.572352,18,1.9
Portions,1565 Rue de Louvain O,H4N 1G6,45.5321412,-73.662543,18,3.9
Cultures,"Place Dupuis, 845 Boul. de Maisonneuve E",H2L 4L8,45.516674,-73.560026,38,4
Cultures,"Complexe Desjardins, 150 Sainte-Catherine O",H2X 3Y2,45.507809,-73.565201,34,2.2
Restaurant Métafo,471 32e Avenue,H8P 2X3,45.4178324,-73.6110412,0,
Sushi Plus,5940 Chem. de la Côte des Neiges,H3S 1Z5,45.4998766,-73.6306229,1185,3.9
Sushi Shop,633 32e Avenue,H8T 3G6,45.440439,-73.6928111,65,3.1
Restaurant LaShish Airlie,9150 Rue Airlie,H8R 2A5,45.4214014,-73.6356348,650,4.6
Dumpling Shop,5674 Av de Monkland,H4A 1E4,45.4746153,-73.6233327,143,4
Benny&Co.,12333 Blvd. Laurentien,H4K 2Z1,45.5300647,-73.7231768,370,4
McDonald's,11680 Boul. de Pierrefonds,H8Y 3C9,45.506072,-73.8206771,1247,3.5
Sushi Plus,2101 Av Dollard,H8N 1S2,45.4329424,-73.6355735,1114,4.1
Mandys - Westmount,5033 Rue Sherbrooke O,H4A 1S8,45.4768368,-73.6061782,821,4.3
Restaurant Nouveau Félix,9143 Bd Pie-IX,H1Z 3V9,45.5801819,-73.6215875,186,3.9
Ristorante Il Cenone,6419 Boul Gouin O,H4K 1A9,45.529176,-73.7246516,184,4.1
Ono Pokii (poke) - Westmount,4914 Rue Sherbrooke O,H3Z 1H3,45.4779198,-73.6043902,280,4.6
Déli-Santé Fleury,1400 Rue Fleury E,H2C 1R8,45.5612299,-73.6570576,1,5
Wasabi Sushi,5410 Chem. Queen Mary,H3X 2K9,45.4820243,-73.6302086,197,4.5
VUA Sandwichs et Sushi,1579 R. Saint-Denis,H2X 3K3,45.5148967,-73.5621983,723,4.3
Restaurant Casa Mare Enrg,15714 Boul. de Pierrefonds,H9H 3P6,45.4794193,-73.8653419,261,4.3
Café Santé,,,45.5008289,-73.6608586,0,
Gourmet Santé,380 Rue Saint-Antoine O,H2Y 3X7,45.5025371,-73.5607568,19,2.6
Rouge Santé,8305 Chem. de la Côte de Liesse,H4T 1G5,45.4766309,-73.7052483,8,5
Archway,3683 Rue Wellington,H4G 1V1,45.4669696,-73.56676,367,4.7
Sam boustan,8000 Bd Henri Bourassa O,H4S 1V4,45.5022532,-73.7439884,0,
Fontaine Santé,100 Boulevard René-Lévesque O,H2Z 1J5,45.5073768,-73.5624666,2,3.5
Banh Mi Santé,1351 Avenue du Mont-Royal E,H2J 1Y8,45.5304947,-73.5771915,5,2.6
Le Marquis Signature santé,194 Rue Saint-Paul O,H2Y 1Z9,45.5028655,-73.5550322,184,4.5
Aux Vivres Plateau,4631 Boul. Saint-Laurent,H2T 1R2,45.5211797,-73.5883938,2719,4.5
Abe & Mary's - De La Montagne,2125 Rue de la Montagne,H3G 1Z8,45.4993124,-73.5775301,190,3.7
Muffin Plus,1500 Atwater Place Alexis Nihon,H3Z 1X5,45.489027,-73.58587,41,4
LuYuan Health Centre,15755 Boul. de Pierrefonds,H9H 3X6,45.4792427,-73.8675357,1,5
Avril Supermarché Santé,375 Av. Viger O,H2Z 0C1,45.5034796,-73.5624082,112,4
Liv salades,5350 Boul. Saint-Laurent,H2T 1S1,45.5247059,-73.5968312,60,3.8
On Mange Quoi,1717 Rue Berri,H2L 4E9,45.5167519,-73.5637182,1,5
Piri Piri Plateau,415 Avenue du Mont-Royal E,H2J 2W1,45.5242726,-73.5828183,1293,4
Piri Piri Masson,3038 Rue Masson,H1Y 1X6,45.5490887,-73.5741301,901,4
Jugo Juice,7077 Newman Blvd Unit 5410,H8N 1X1,45.447682,-73.615771,77,3.5
Jugo Juice,705 Sainte-Catherine O Unit 150Z,H3B 4G5,45.502466,-73.5713041,58,4.1
Poulet Rouge Ste-Catherine,1623 Sainte-Catherine O,H3H 1L8,45.4947574,-73.5783834,1464,4.4
Boulangerie Le Marquis,367 Rue de Castelnau E,H2R 1R1,45.5388121,-73.6178186,392,4.6
Sparta Poulet Grec,405B R. Sherbrooke E,H2L 1J9,45.5172006,-73.5676598,490,4.3
Boustan Sainte-Catherine,19 Rue Sainte-Catherine E,H2X 1K3,45.5103558,-73.5635719,1858,3.9
Restaurant Basha - Cuisine Libanaise.,777 Rue De La Gauchetière O,H3B 2M9,45.500688,-73.5655696,87,3.9
CREALUNCH | Plats cuisinés surgelés santé et faits-maison à Montréal,5000 Rue D'Iberville Suite 234,H2S 2S6,45.5400695,-73.5729858,152,4.7
Yaourti,1407 Rue Crescent,H3G 2B2,45.4975005,-73.5760669,129,4.8
Restaurant Samara,8250 Bd Maurice-Duplessis,H1E 3A3,45.6339797,-73.585144,203,4.3
Hello 123,5700 Av de Monkland,H4A 1E4,45.4743285,-73.6237128,527,4.6
Copper Branch,1251 Avenue du Mont-Royal E,H2J 1Y4,45.5294325,-73.5780517,594,4.1
KazaMaza,4629 Av du Parc,H2V 4E4,45.5178679,-73.5913192,1048,4.4
L'Express,4855 Rue Marc-Blain,H4R 3B2,45.493008,-73.731113,13,3.9
21st Century Food | Corporate Catering,4971 Rue Levy,H4R 2N9,45.4948213,-73.7364306,95,4.6
Restaurant La Piazza,2525 Rue des Nations,H4R 3C8,45.5129511,-73.7121246,189,4.5
"Le Poke Station (Décarie, VSL)",783 Bd Décarie,H4L 3L4,45.511462,-73.6779185,34,4.5
Cafe TCAN,7405 Rte Transcanadienne,H4T 1Z2,45.4899982,-73.7090897,134,4.9
phở kim,11898 Blvd. Laurentien,H4K 2V5,45.5248794,-73.7131444,104,3.9
Akai Bowl Health food smoothie and bowl of Acai,705 Sainte-Catherine O,H3B 4G5,45.5029123,-73.5716799,48,4.9
Birreria ITALI.CO,3131 Boulevard Cote Vertu Ouest,H4R 1Y8,45.4979517,-73.7054538,1072,4
"Le Nomade, prêt-à-manger",306 Rue Fleury O,H3L 1V3,45.5437285,-73.6675028,35,4.9
Kofi Crêpe,4483 R. Saint-Denis,H2J 2L2,45.524005,-73.582553,658,4.1
Veganation,9090 Av du Parc local 103,H2N 1Y8,45.5369317,-73.651471,214,4.7
Café Expressions ( Café AnaVic),"Lobby, 5885 Chem. de la Côte des Neiges",,45.5002934,-73.6301639,275,4.2
MARCHÉ RELA AFRICAIN,925 Bd Décarie,H4L 3M3,45.5133834,-73.6810131,184,4.4
Rôtisseries Au Coq,1110 Blvd. Marcel-Laurin,H4R 1J7,45.509549,-73.6893998,153,3.6
La Prep,8000 Bd Décarie,H4P 2S4,45.497548,-73.6592847,49,4.2
Restaurant Kam Do,971 Bd Décarie,H4L 3M6,45.5139629,-73.6820478,555,4.1
La Finca café & marché local,1067 Rue de Bleury,H2Z 1N1,45.5046201,-73.5629504,1237,4.7
Poulet Rouge Carrefour Angrignon,7077 Newman Blvd #1370,H8N 1X1,45.4480435,-73.6153356,281,4.3
IKEA Montreal - Restaurant,9191 Boul Cavendish,H4T 1M8,45.491986,-73.6913528,193,4.2
BIBIKO,31 R. St Viateur Est,H2T 1A5,45.5263542,-73.5987689,219,4.4
Menthe et couscous,361 Rue Émery,H2X 1J2,45.5148022,-73.5636565,1863,4.3
Agrigourmet,4605 Rue Sainte-Catherine E,H1V 1Y8,45.553768,-73.5323622,28,4.6
Falafel St. Jacques,345 Rue Saint-Jacques,H8R 1E6,45.4434472,-73.6486742,1966,4.7
Amir,3570 Bd Pitfield,H8Y 3L4,45.5038065,-73.7582344,83,4.1
Copper Branch Stanley,"1180 boul. de Maisonneuve Ouest, Stanley St",H3A 1N5,45.5000064,-73.575442,119,4.3
Restaurant Amir,3834 Boulevard Cote Vertu Ouest #100,H4R 1P8,45.4921076,-73.7085674,456,3.7
Mario’s Pizza,6245 Bd Henri Bourassa O,H4R 1C7,45.5134955,-73.7211037,222,3.9
Poulet Mankal,12174 Blvd. Marcel-Laurin,H4K 1M9,45.5272614,-73.7189675,113,4.2
Régine Café,1840 Rue Beaubien E,H2G 1L6,45.543541,-73.5959549,2968,4.7
Restaurant Crème Café,1 8e Avenue,H8P 1Y5,45.4285199,-73.5945893,234,4.1
maman,1524 Notre-Dame St W,H3C 1L1,45.4905682,-73.5666393,485,4.1
Le Petit Sao (Vieux Montréal),237 Notre-Dame St W,H2Y 1T4,45.5034096,-73.5580684,169,4.3
Le Vieux St-Laurent,3993 Boul. Saint-Laurent,H2W 1Y4,45.5168261,-73.5787562,683,4.5
Uniprix - Pharmacie Marianne Grimard-Keita et Berge Shater inc.,2561 Rue Provost,H8S 1R2,45.441456,-73.687139,18,4.2
Bubble Tea Santé,1351 Avenue du Mont-Royal E,H2J 1Y8,45.5304947,-73.5771915,1,1
Jugo Juice,700 Rue De La Gauchetière O,H3B 4L5,45.501014,-73.56448,18,3.8
Toi moi et café,244 Av. Laurier O,H2T 2N8,45.5203671,-73.5949504,823,4.3
Darbar,2027 Boul. Saint-Laurent,H2X 2T3,45.5117008,-73.5673345,965,4
Jugo Juice,"Montreal Trust, 1500 McGill College Ave Unit KA03",H3A 3J5,45.50234,-73.572352,24,3
Jugo Juice,1515 Sainte-Catherine O,H3G 2W1,45.495368,-73.577996,53,4.2
Chez Robin marché local,3819 Rue Wellington #102,H4G 1V1,45.4657078,-73.5668866,513,4.6
Bar Ahuntsic,10710 Boul. Saint-Laurent,H3L 2P7,45.5503462,-73.6713536,66,4.2
IMPAC TACO - Tacos - Resto Mexicain - Churros - Traiteur/Catering,6245 Boul Métropolitain E,H1P 1X7,45.5919922,-73.5814926,415,4.5
CHSLD de Cartierville (Manoir Cartierville),12235 Rue Grenet,H4J 2N9,45.5313808,-73.7173481,3,4
Royal Sushi 5 - Sushi Royal Beaubien,2352 Rue Beaubien E,H2G 1N2,45.547647,-73.592541,111,4.2
Monteiro - Grillades Portugaises (Côte-des-Neiges),5327 Av. Gatineau,H3T 1X1,45.4972528,-73.6215534,416,4
Livia,1468 Rue Peel,H3A 1S8,45.5005392,-73.5743181,161,3.7
Frenco,"Cooper Building, 3985 St Laurent Blvd",H2W 1Y4,45.5167566,-73.5786042,195,4.4
Café Vasco da Gama,1472 Rue Peel,H3A 1S8,45.5006345,-73.5745293,768,4.4
Poulet Rouge Masson,2917 Rue Masson,H1Y 1X5,45.5483965,-73.575067,130,4.8
Chalet Bar-B-Q,5456 Rue Sherbrooke O,H4A 1V9,45.4726992,-73.6110085,1899,4.5
Clinique Sante Bambou,7765 Rue St-Hubert,H2R 2P1,45.5448865,-73.6219906,6,3.8
ECOLLEGEY- Marché Santé / Bio / Organic / Vegan / Vegetarian - Seafood / Fromagerie - Delivery,6131 Av de Monkland,H4A 1H5,45.4700592,-73.6281819,165,4.1
Jugo Juice,"1500 Atwater Avenue SK, 06 Place Alexis Nihon",H3Z 1X5,45.489027,-73.58587,37,3.1
A&W Canada,7077 Bd Newman,H8N 1X1,45.448157,-73.6148017,210,4
Vip Nutrition Bar,1495 Rue Notre Dame,H8S 2E2,45.4348641,-73.6772206,27,4.7
Honi Honi Bar À Poké + Ramen + Bubble tea,4559 Rue Wellington,H4G 1W8,45.4587151,-73.5675389,531,4.3
Rachelle-Béry boutiques santé,480 28e Av.,H8S 3Z4,45.437245,-73.688722,20,4
