NOM,Habitants,Superficie (km2)
Ahuntsic-Cartierville,126891,24
Anjou,41928,14
Beaconsfield,19505,11
Côte-Saint-Luc,32321,7
Côte-des-Neiges-Notre-Dame-de-Grâce,165031,21
Dollard-des-Ormeaux,49637,15
Hampstead,7158,2
L'Île-Bizard-Sainte-Geneviève,18097,24
LaSalle,74276,16
Lachine,41616,18
Le Plateau-Mont-Royal,100390,8
Le Sud-Ouest,71546,16
Mercier-Hochelaga-Maisonneuve,131438,25
Montréal-Est,3728,13
Montréal-Nord,83868,11
Montréal-Ouest,6000,1
Outremont,23566,4
Pierrefonds-Roxboro,68410,27
Rivière-des-Prairies-Pointe-aux-Trembles,106437,42
Rosemont-La Petite-Patrie,134038,16
Saint-Laurent,93842,43
Saint-Léonard,75707,14
Sainte-Anne-de-Bellevue,5073,11
Verdun,66158,10
Ville-Marie,84013,17
Villeray-Saint-Michel-Parc-Extension,142222,17
Westmount,19931,4
Mont-Royal,19503,8
Dorval,18208,21
Kirkland,21253,10
Pointe-Claire,30790,19
Baie-d'Urfé,3850,6
Senneville,920,8
