Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Restaurant Chez To Go,4.5,45.6036834,-73.5127869,9041 Notre-Dame St. East,H1L 3M9,301
Comptoir Sushi Yatta,4.6,45.5318119,-73.5754755,1576 Mont-Royal Ave E,H2J 1Z2,22
Montreal Asian Food,,45.5187183,-73.587453,102 Mont-Royal Ave W,H2T 2T1,0
Thaï Mix Pointe-aux-Trembles,4.3,45.6424365,-73.5025571,1305 Bd Saint-Jean-Baptiste,H1B 4A2,140
Restaurant Shekz,4.2,45.6234916,-73.6011289,7272 Bd Maurice-Duplessis,H1E 4A7,186
MajesThé Bistro Bar,4.3,45.5048275,-73.5727648,2077 Blvd Robert-Bourassa,H3A 2M3,536
Cambo Thai,4.4,45.5527227,-73.6191153,1660 Rue Jarry E,H2E 1B3,172
Thai Express Restaurant Montréal,2.9,45.495919,-73.578919,1570 Boul. de Maisonneuve Ouest,H3G 1N1,225
Restaurant PM,4,45.493737,-73.5796397,1809 Saint-Catherine St W,H3H 1M2,862
Scratch Kitchen,,45.5162977,-73.5782743,3910 St Laurent Blvd,H2W 1Y2,0
Chez Doval,4.2,45.520514,-73.582702,150 Marie-Anne St E,H2W 1A5,635
Restaurant Chinatown Kim Fung,3.9,45.5077179,-73.5618084,1111 Rue Saint-Urbain M05,H2Z 1Y6,1645
Restaurant Ethan,3,45.507239,-73.560352,72 Rue De La Gauchetière O,H2Z 1B9,642
Sushi Shop,4.3,45.594248,-73.574251,6687 Rue Jean-Talon E,H1S 0A5,168
Restaurant Keung Kee,3.9,45.507253,-73.560407,70 Rue De La Gauchetière O,H2Z 1C1,1098
Thai Express Restaurant Montréal,3.4,45.474673,-73.608659,5259 Sherbrooke St W,H4A 1V1,233
Asian restaurant,,45.5045149,-73.5590012,888 Saint Francois Xavier St,H2Y 0A8,0
Hoshi Dong Que,4.3,45.5360012,-73.5938056,1210 Bd Rosemont,H2S 2A5,372
IMADAKE IZAKAYA,4.5,45.4888413,-73.5845934,4006 Saint-Catherine St,H3Z 1P2,2176
Dynastie,3.8,45.5073778,-73.5599083,107-1008 Rue Clark,H2Z 1J9,458
Thai Express Restaurant Montréal,3.6,45.492213,-73.655338,5510 Rue Jean-Talon O,H4P 2T5,250
Restaurant Delicieux&Beau Thé,3.7,45.4986403,-73.6269892,5665 Chem. de la Côte des Neiges,H3T 1Y8,298
Restaurant Ruby Rouge,3.6,45.507321,-73.5598156,1008 Rue Clark,H2Z 1J9,1055
Mulan Dumpling,4,45.529813,-73.5777048,1291 Mont-Royal Ave E,H2J 1Y4,277
Restaurant Kim Hour,4.1,45.5616501,-73.6052225,7682 Bd Saint-Michel,H2A 3A5,441
Fung Shing Chinese Restaurant,4.1,45.5084469,-73.561151,1102 St Laurent Blvd,H2Z 1J5,361
白家老汤 Northwestern Chinese Cuisine,4.1,45.4933857,-73.5793959,1818 Saint-Catherine St W,H3H 1M1,176
银记肠粉 Yin Ji Chang Fen,4.3,45.4930924,-73.5803182,1861 Saint-Catherine St W,H3H 1M2,385
Le Filet,4.7,45.5180412,-73.588493,219 Mont-Royal Ave W,H2T 2T2,584
L'Gros Luxe Mile End,4.2,45.525554,-73.6038078,150 Rue Bernard O,H2T 2K2,1090
L'Gros Luxe Plateau,3.9,45.521456,-73.5754245,451 Av. Duluth E,H2L 1A6,1408
Mai Xiang Yuan Dumpling Chinatown,4.1,45.5082653,-73.560729,1082 St Laurent Blvd,H2Z 1J5,1135
Grenade - Resto-bar et terrasse,4.2,45.5250097,-73.5601494,1603 Ontario St E,H2L 1S5,1201
Banh Mi Banh Yiu,4.5,45.522819,-73.601829,255a Rue Saint- Viateur O,H2V 1Y1,310
Bistro Sawadika,4.2,45.5103483,-73.6866901,1800 Boulevard Cote Vertu Ouest,H4L 2A6,759
Côba Sushi,4.4,45.5170867,-73.5978208,1124 Av. Laurier O,H2V 2L4,364
Deux Saisons Thé aux Bulles,4.7,45.5199025,-73.5743636,3922 Saint Denis St,H2W 2M2,105
Nikkei MTL,4.5,45.5350663,-73.58255,1577 Laurier Ave E,H2J 1J1,299
HÀ Vieux-Montréal,4.2,45.4997314,-73.5562062,600 William St,H3C 1N6,669
Sushi Shop,3.2,45.510102,-73.575315,3550 Park Ave,H2X 2H7,179
Resto Café Royal,4.5,45.4963241,-73.6641426,5473 Royalmount Ave,H4P 1J3,78
Maison de Cari Golden,3.9,45.5238014,-73.5949511,5210 St Laurent Blvd,H2T 1S1,240
Pho Hao,4.1,45.5009518,-73.6327717,6230 Chem. de la Côte des Neiges,H3S 2A1,519
Chez Chili,4.5,45.5076218,-73.5603825,1050b Rue Clark,H2Z 1K3,1289
Chez Chine,3.9,45.506767,-73.5599746,999 Rue Saint-Urbain,H2Z 0B4,41
Qing Hua Dumpling - (ChinaTown & Boul. St-Laurent),4.2,45.508143,-73.559573,1019 St Laurent Blvd,H2Z 1J4,1890
Thai Express Restaurant Montréal,3,45.50111,-73.572242,"Carrefour Industrielle Alliance, 977 Saint-Catherine St W",H3B 4W3,27
Restaurant Noodle Factory,4.4,45.5067346,-73.5607787,1018 Rue Saint-Urbain,H2Z 1K6,1139
Le Blossom - Bar à Sake,4,45.5183731,-73.5586106,1101 Boul. de Maisonneuve E,H2L 1Z6,631
Wok Cafe,4,45.4932398,-73.5801484,1845 Saint-Catherine St W,H3H 1M2,905
Restaurant Noraka,4.4,45.4982093,-73.6483061,4820 Rue Jean-Talon O,H4P 1W9,71
Thai Express Restaurant Montréal,3.3,45.489505,-73.585265,"Place Alexis Nihon, 1500 Atwater Ave",H3Z 1X5,65
Biiru,4.5,45.5050012,-73.5686458,1433 City Councillors St,H3A 2E4,1509
Thai Express Restaurant Montréal,4.1,45.503964,-73.572286,"AXA Center, Blvd Robert-Bourassa",H3A 2A5,123
Mae Sri Comptoir Thai,4.5,45.5104003,-73.5726811,224 Rue Milton,H2X 1V6,920
Kum Mon Restaurant,3.4,45.5024307,-73.6350453,6565 Chem. de la Côte des Neiges,H3S 2A5,210
KINKA IZAKAYA MONTREAL,4.2,45.494056,-73.57853,1624 Saint-Catherine St W,H3H 2S7,1422
Nouilles Zhonghua - Chinese Noodles - Cold Noodle Xi'an - Chinese Hamburger - Delivery,4.5,45.5032847,-73.5749407,908 Sherbrooke St W,H3A 1G3,380
La Belle Tonki,4.7,45.5405424,-73.5994458,1335 Rue Beaubien E,H2G 1K7,998
KAM SHING Restaurant,4.1,45.5032173,-73.6381055,6730 Chem. de la Côte des Neiges,H3S 2B2,746
Sushi Dépanneur,4.5,45.5267046,-73.5801786,928 Mont-Royal Ave E,H2J 1X2,313
Tsukuyomi Ramen,4.5,45.5241782,-73.5947659,5207 St Laurent Blvd,H2T 1S4,1377
Khyber Pass Restaurant,4.5,45.5218722,-73.5746611,506 Duluth Ave E,H2L 1A7,1414
HARBIN DUMPLING,4.6,45.5197084,-73.5729963,3829 Saint Denis St,H2W 2M4,185
L’Entrepôt Mont-Royal,4.1,45.5276358,-73.5797401,1019 Mont-Royal Ave E,H2J 1X7,2999
Restaurant Les Garçons,4.5,45.5148958,-73.6455389,1789 Graham Blvd,H3R 1G7,61
Teochew Foodie,4.7,45.5201947,-73.574933,3964a Saint Denis St,H2W 2M2,41
Sushi Shop,3.1,45.50733,-73.661711,2342 Ch Lucerne Ville,H3R 2J8,80
AMBER,4.5,45.520564,-73.5791225,266 Rue Rachel E,H2W 1E6,527
H2 Hyderabad House Indian Restaurant,4.4,45.5254298,-73.5854767,4723 Saint Denis St,H2J 2L5,1014
Juste Nouilles,3.5,45.550165,-73.5739401,3181 Rue Masson,H1Y 1Y2,502
La Belle Corée,4.2,45.5226173,-73.5958145,101 Av. Fairmount O,H2T 2M4,358
Chef Panda's Resto Bar + Event Venue,4.8,45.4931951,-73.6709755,8355 Chem. Montview,H4P 2L9,12
Tri Express,4.6,45.5353661,-73.5817987,1650 Laurier Ave E,H2J 1J2,821
Sumi Dojo,4,45.5131492,-73.5706024,3479 St Laurent Blvd,H2X 2T6,365
,,,,,,0
Restaurant Petit Seoul,4.5,45.5243761,-73.5952938,5245 St Laurent Blvd,H2T 1S4,524
Restaurant Mikado,4.4,45.5189601,-73.5967566,399 Av. Laurier O,H2V 2K3,452
Qing Hua Dumpling - (Maisonneuve),4.2,45.4949188,-73.5803364,1675 Boul. de Maisonneuve Ouest,H3H 1J6,1289
Szechuan par Mr Ma,4.5,45.5015733,-73.5590174,400 Notre-Dame St W,H2Y 1V3,283
Cuisine Szechuan,3.8,45.4963086,-73.5814676,2350 Guy St,H3H 2M2,285
Fondue Chinoise Express,4.4,45.4942309,-73.5782501,1610 Sainte-Catherine O #411,H3H 2S2,37
Gia Ba,4.2,45.4735786,-73.6243941,5766 Monkland Ave,H4A 1E9,244
Asie Moderne,4.2,45.5193033,-73.6973964,1676 Rue Poirier,H4L 1J3,240
Thai Express Restaurant Montréal-Nord,3.9,45.589271,-73.636365,10734 Pie-IX Blvd,H1H 4A7,225
Itamea sushi,4.2,45.5441246,-73.5954869,1898 Rue Beaubien E,H2G 1L9,482
Nori Sushi,4.6,45.5415111,-73.5604472,2967 Sherbrooke St E,H1W 1B2,178
Épicerie Pumpui,4.5,45.5328529,-73.6111091,83 Rue Saint-Zotique E,H2S 1K7,701
ShangHai Grill,3.5,45.4877674,-73.5861333,4050 Saint-Catherine St W,H3Z 1P2,131
Restaurant Vip,4.2,45.5079917,-73.5607082,1077 Rue Clark,H2Z 1K3,1184
