Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Livia,,45.4578582,-73.750895,"975 Boulevard Roméo Vachon Nord Gate, 52, Dorval, QC H4Y 1H2, Canada",H4Y 1H2,0
Tim Hortons,3.6,45.4475555,-73.7509753,"475 Av. Dumont #107, Dorval, Quebec H9S 5W2, Canada",H9S 5W2,644
"Café Santana Coffee (We are wholesalers, Not A Café)",4.4,45.45388,-73.727404,"630 Av. Meloche, Dorval, QC H9P 2P4, Canada",H9P 2P4,8
Starbucks,2.5,45.4570485,-73.7517902,"YUL Reserve International, 975 Roméo-Vachon Blvd N #275, Dorval, Quebec H4Y 1H1, Canada",H4Y 1H1,165
Sky Cafe,4.4,45.4561834,-73.7623705,"750 Blvd. Stuart-Graham, Dorval, Quebec H4Y 1G2, Canada",H4Y 1G2,9
cafe montreal bagel,2.1,45.4587095,-73.7514718,"Pierre Elliott Trudeau International Airport, Dorval, QC H4Y 1J5, Canada",,21
Starbucks,4.5,45.4702102,-73.7375784,"730 Boulevard Cote Vertu Ouest, Dorval, Quebec H9P 1A2, Canada",H9P 1A2,4
Tim Hortons,3.5,45.457889,-73.748559,"975 Romeo Vachon Blvd N, Dorval, Quebec H4Y 1H1, Canada             975 boul. Roméo-Vachon N, Dorval, QC H4Y 1H1",H4Y 1H1,1405
Starbucks,5,45.4553961,-73.7553322,"975 Romeo Vachon Blvd N, Dorval, Quebec H4Y 1H1, Canada             975 boul. Roméo-Vachon N, Dorval, QC H4Y 1H1",H4Y 1H1,1
Ôra Cafe & Cocktail,4.8,45.4406024,-73.7328622,"535 Chem. du Bord-du-Lac-Lakeshore, Dorval, QC H9S 2B1, Canada",H9S 2B1,68
Starbucks,3.2,45.457652,-73.7507336,"975 Romeo Vachon Blvd N 275 Nord, Dorval, Quebec H4Y 1H1, Canada",H4Y 1H1,138
Starbucks,1.9,45.4577745,-73.7485483,"975 boul. Roméo-Vachon N Suite 275, Dorval, QC H4Y 1H1, Canada",H4Y 1H1,14
Starbucks,4.6,45.4770904,-73.7895212,"2855 Sources Blvd #102, Dorval, Quebec H9R 4N3, Canada",H9R 4N3,41
Bar Laitier Nonna,4.8,45.447793,-73.751249,"475 Av. Dumont suite 102, Dorval, QC H9S 5W2, Canada",H9S 5W2,106
Starbucks,2.9,45.4587208,-73.7525487,"7 Roméo-Vachon Blvd North (Departures), Dorval, QC H4Y 1G8, Canada",H4Y 1G8,42
Shahba Cafe,3.4,45.4444847,-73.7429658,"316 Av. Dorval, Dorval, QC H9S 3H7, Canada",H9S 3H7,7
Starbucks,4.3,45.4483422,-73.754339,"1250 Chem. Herron A, Dorval, Quebec H9S 1B4, Canada",H9S 1B4,178
Café Java U,3.1,45.4577872,-73.7519021,"975 Romeo Vachon Blvd N, Dorval, Quebec H4Y 1H2, Canada             975 boul. Roméo-Vachon N, Dorval, QC H4Y 1H2",H4Y 1H2,205
Las Fincas Coffee Inc,4.9,45.4602792,-73.729604,"770 Av. Halpern, Dorval, QC H9P 1G6, Canada",H9P 1G6,70
Cafe Gourmet (Le Centre),4.3,45.448585,-73.7631244,"1564 Chem. Herron, Dorval, QC H9S 2B6, Canada",H9S 2B6,24
Café Olimpico - Mile End,4.6,45.5241048,-73.6002501,"124 Rue Saint- Viateur O, Montréal, QC H2T 2L1, Canada",H2T 2L1,2910
Le Club Espresso Bar & Café,4.6,45.5194667,-73.572573,"3801 Saint Denis St, Montreal, Quebec H2W 2M4, Canada             3801 R. Saint-Denis, Montréal, QC H2W 2M4",H2W 2M4,247
Moustache Café,4.5,45.5307469,-73.6081954,"35 Rue Beaubien E, Montréal, QC H2S 1P7, Canada",H2S 1P7,423
Café Chat L'Heureux,4.5,45.5186402,-73.5776851,"172 Duluth Ave E, Montreal, Quebec H2W 1H3, Canada             172 Av. Duluth E, Montréal, QC H2W 1H3",H2W 1H3,2743
Cafe Aroma Paninoteca,4.9,45.5627887,-73.6561204,"1520 Rue Fleury E, Montreal, Quebec H2C 1S5, Canada",H2C 1S5,146
Troisième Tasse,4.6,45.5226345,-73.5521645,"1800 St Catherine St E, Montreal, Quebec H2K 2H3, Canada             1800 Rue Sainte-Catherine E, Montréal, QC H2K 2H3",H2K 2H3,169
Café Odessa,4.4,45.5311156,-73.6077957,"65 Rue Beaubien E, Montréal, QC H2S 1R1, Canada",H2S 1R1,182
Olives And Black Coffee,4.6,45.5377135,-73.5973804,"1239 de, Rue de Bellechasse, Montréal, QC H2S 1Y8, Canada",H2S 1Y8,229
Café L'Étincelle,4.8,45.5448694,-73.5953005,"1991 Rue Beaubien E, Montréal, QC H2G 1M2, Canada",H2G 1M2,526
Brulerie Saint-Denis,4.1,45.533894,-73.583499,"1389 Laurier Ave E, Montreal, Quebec H2J 1H6, Canada             1389 Avenue Laurier E, Montréal, QC H2J 1H6",H2J 1H6,259
Cafe Loche,4.5,45.5586801,-73.6514163,"1352 Rue Sauvé E, Montréal, QC H2C 2A2, Canada",H2C 2A2,48
Le Moineau Masqué,4.5,45.5255176,-73.5780893,"912 Marie-Anne St E, Montreal, Quebec H2J 2Z4, Canada             912 Rue Marie-Anne, Montréal, QC H2J 2Z4",H2J 2Z4,340
Café Reine Garçon,4.7,45.5223118,-73.5745968,"611 Av. Duluth E, Montréal, QC H2L 1A9, Canada",H2L 1A9,347
Croissant Croissant,4.7,45.537105,-73.5702671,"2270 Mont-Royal Ave E, Montreal, Quebec H2H 1K6, Canada             2270 Avenue du Mont-Royal E, Montréal, QC H2H 1K6",H2H 1K6,558
St-Viateur Bagel & Café Mont-Royal,4.4,45.528418,-73.579016,"1127 Mont-Royal Ave E, Montreal, Quebec H2J 1X9, Canada             1127 Avenue du Mont-Royal E, Montréal, QC H2J 1X9",H2J 1X9,2910
Café Pista,4.6,45.5347864,-73.6040742,"500 Rue Beaubien E, Montréal, QC H2S 1S5, Canada",H2S 1S5,445
CAFÉ ISO,4.9,45.5194392,-73.5773199,"251 Av. Duluth E, Montréal, QC H2W 1H7, Canada",H2W 1H7,97
Columbus Café & Co,3.8,45.5287523,-73.5782997,"1200 Mont-Royal Ave E, Montreal, Quebec H2J 1Y2, Canada             1200 Avenue du Mont-Royal E, Montréal, QC H2J 1Y2",H2J 1Y2,287
