Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Kojax Souflaki,3.3,45.4890006,-73.5863431,"Plaza ALEXIS-NIHON, 1500 Atwater Ave FF3, Montreal, Quebec H3Z 1X5, Canada",H3Z 1X5,72
Kojax Souflaki,3.8,45.4969444,-73.5763887,"1389 Saint-Catherine St W, Montreal, Quebec H3G 1R1, Canada             1389 Sainte-Catherine O, Montréal, QC H3G 1R1",H3G 1R1,486
Sparta Chicken (St Catherine),4.5,45.4885577,-73.5851112,"4024B Saint-Catherine St W, Westmount, Quebec H3Z 1P2, Canada             4024B Sainte-Catherine O, Westmount, QC H3Z 1P2",H3Z 1P2,872
Oliveraies Ktima Barakaris,4.7,45.4683842,-73.6196325,"6000 Sherbrooke St W, Montreal, Quebec H4A 1X9, Canada             6000 Rue Sherbrooke O, Montréal, QC H4A 1X9",H4A 1X9,287
"Gyro Boutique (restaurant grecque authentique, Kirkland)",3.7,45.4525253,-73.856627,"16948 Trans-Canada Hwy, Kirkland, Quebec H9H 0C5, Canada             16948 Route Transcanadienne, Kirkland, QC H9H 0C5",H9H 0C5,217
Brochetterie Parthenon,4.2,45.5013455,-73.6320971,"3543 Ave Van Horne, Montreal, Quebec H3S 1R7, Canada",H3S 1R7,528
Petros Griffintown,4.1,45.4889822,-73.5655532,"1613 William St, Montreal, Quebec H3J 1R1, Canada             1613 Rue William, Montréal, QC H3J 1R1",H3J 1R1,239
Restaurant Laflamme,3.7,45.4898825,-73.8736124,"341 Rue Cherrier, L'Île-Bizard-Sainte-Geneviève, QC H9C 1E5, Canada",H9C 1E5,130
Estiatorio Kavos,4.7,45.4972202,-73.6549141,"7657 Decarie Blvd, Montreal, Quebec H4P 2H2, Canada             7657 Bd Décarie, Montréal, QC H4P 2H2",H4P 2H2,123
BALOS,4.6,45.4872267,-73.5866696,"4114 Saint-Catherine St W, Montreal, Quebec H3G 1P2, Canada             4114 Sainte-Catherine O, Montréal, QC H3G 1P2",H3G 1P2,100
Souvlaki Bar - Vaudreuil,4.3,45.4112458,-74.0317831,"41 Bd de la Cité-des-Jeunes, Vaudreuil-Dorion, QC J7V 0N3, Canada",J7V 0N3,463
Au Vieux Duluth,4,45.4711028,-73.8338793,"3610 Boul. Saint-Jean, Dollard-des-Ormeaux, QC H9G 1X1, Canada",H9G 1X1,347
Souvlaki Authentique Ile Perrot,4.4,45.3938661,-73.9559949,"98 Bd Perrot, L'Île-Perrot, QC J7V 3E9, Canada",J7V 3E9,641
Restaurant la Pomponnette,4.9,45.4624677,-74.0846961,"96 Rue Notre Dame, Oka, QC J0N 1E0, Canada",J0N 1E0,62
Au Vieux Duluth Restaurant Vaudreuil-Dorion,4.2,45.3812503,-74.01456,"250 Bd Harwood, Vaudreuil-Dorion, QC J7V 1Y5, Canada",J7V 1Y5,705
Petros Westmount,4.1,45.4798798,-73.6028633,"4785 Sherbrooke St W, Westmount, Quebec H3Z 1G5, Canada             4785 Rue Sherbrooke O, Westmount, QC H3Z 1G5",,506
Arahova Souvlaki,3,45.482046,-73.7971158,"46b Brunswick Blvd, Pointe-Claire, Quebec H9R 4W3, Canada             46b Bd Brunswick, Pointe-Claire, QC H9R 4W3",H9R 4W3,78
Oreganos Grill,4.3,45.4675922,-73.6386581,"6535 Somerled Ave, Montreal, Quebec H4V 1S8, Canada             6535 Av. Somerled, Montréal, QC H4V 1S8",H4V 1S8,113
Souvlaki Bar Express (Pointe-Claire),4,45.4628381,-73.8333408,"6801 Trans-Canada Hwy, Pointe-Claire, Quebec H9R 5J2, Canada             6801 Route Transcanadienne, Pointe-Claire, QC H9R 5J2",H9R 5J2,16
Villa du Souvlaki,4.3,45.4738889,-73.6097222,"5347 Sherbrooke St W, Montreal, Quebec H4A 1V2, Canada             5347 Rue Sherbrooke O, Montréal, QC H4A 1V2",H4A 1V2,557
Restaurant Nikas,3.7,45.467855,-73.621408,"6087 Sherbrooke St W, Montreal, Quebec H4A 1Y1, Canada             6087 Rue Sherbrooke O, Montréal, QC H4A 1Y1",H4A 1Y1,285
Souvlaki Authentique Lachine,4.6,45.4350502,-73.673021,"1050 Rue Notre Dame, Lachine, QC H8S 2C2, Canada",H8S 2C2,118
Souvlaki George,4.1,45.4599081,-73.6369885,"6995 Monkland Ave, Montreal, Quebec H4B 1J8, Canada             6995 Av de Monkland, Montréal, QC H4B 1J8",H4B 1J8,784
Rotisserie Panama,4.2,45.4850612,-73.801322,"11604 Salaberry Blvd, Dollard-Des Ormeaux, Quebec H9B 2R8, Canada             11604 Bd de Salaberry, Dollard-des-Ormeaux, QC H9B 2R8",H9B 2R8,418
Souvlaki Authentique Pierrefonds,4.4,45.491562,-73.8504014,"4933 St Jean, Pierrefonds, Quebec H9H 2A9, Canada",H9H 2A9,151
Arahova Souvlaki Pointe-Claire,4.5,45.4821137,-73.7971078,"46 Brunswick Blvd Suite B, Pointe-Claire, Quebec H9B 2L3, Canada",H9B 2L3,106
elounda,4.4,45.5105642,-73.6870348,"1818 Boulevard Cote Vertu Ouest, Saint-Laurent, Quebec H4L 2A6, Canada",H4L 2A6,581
Ilion,4.8,45.5186681,-73.6168149,"1539 Ave Van Horne, Outremont, Quebec H2V 1L4, Canada",H2V 1L4,58
Kojax Souflaki,3.6,45.4849993,-73.7963564,"Centennial Plaza, 3343 d Bd des Sources, Dollard-des-Ormeaux, QC H9B 1Z8, Canada",H9B 1Z8,181
Phyllo Bar Melina's,4.8,45.523773,-73.605013,"5733 Park Ave, Montreal, Quebec H2V 4H2, Canada             5733 Av du Parc, Montréal, QC H2V 4H2",H2V 4H2,192
Yia Sou Greek Grill,4.3,45.4825,-73.630503,"5375 Queen Mary Rd, Montreal, Quebec H3X 1V1, Canada             5375 Chem. Queen Mary, Montréal, QC H3X 1V1",H3X 1V1,1024
Sparta Chicken (Sherbrooke E),4.3,45.5172006,-73.5676598,"405B Sherbrooke St E, Montreal, Quebec H2L 1J9, Canada             405B R. Sherbrooke E, Montréal, QC H2L 1J9",H2L 1J9,492
Souvlaki Bar - Saint-Laurent,4.3,45.4961146,-73.7047522,"3310 Boulevard Cote Vertu Ouest, Saint-Laurent, Quebec H4R 1P8, Canada",H4R 1P8,1874
Casa Grecque,4.1,45.574628,-73.548492,"5787 Sherbrooke St E, Montreal, Quebec H1N 3R5, Canada             5787 R. Sherbrooke E, Montréal, QC H1N 3R5",H1N 3R5,1347
