Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Aux vivres a emporter,3.8,45.521198,-73.5884522,4631 St Laurent Blvd,H2T 1R2,18
Le Bistro Fit,4.3,45.4838533,-73.7868672,2101 Trans Canada Route,H9P 1J1,11
District Bagel - Lucerne,4.6,45.5028948,-73.6448694,709 Lucerne Rd,H3R 2H7,494
Capitaine Sandwich,4.8,45.5183185,-73.5783183,"4050 de, Rue de Bullion",H2W 2E5,271
Mandy's,4.5,45.5023978,-73.5561864,425 Rue Saint-Nicolas,H2Y 2P4,1059
Maestro Café,4.6,45.5247089,-73.5997236,80 Rue Saint- Viateur O,H2T 2K8,80
Copper Branch,4.2,45.4683841,-73.828962,301 Brunswick Blvd,H9R 4Y2,603
Abe & Mary's - TMR,3.4,45.5061209,-73.6610312,2346 Lucerne Rd,H3R 2J8,122
Sana Restaurant Halal ( CRESCENT ),4.1,45.4963377,-73.5737942,1175A Crescent St,H3G 2B1,1249
Tapi Go!,4.7,45.5171294,-73.5794478,4057 St Laurent Blvd,H2W 1Y7,40
sandwicherie chez ta mère,4.6,45.5242606,-73.5946167,15 Av. Fairmount E,H2T 1C7,254
Cultures,2.2,45.507809,-73.565201,"Complexe Desjardins, 150 Saint-Catherine St W",H2X 3Y2,34
Cultures,4.2,45.501014,-73.56448,"700 de la Gauchetière Tower, 700 Rue De La Gauchetière O",H3B 5M2,16
Mandy’s,4.3,45.4984317,-73.577816,2067 Crescent St,H3G 2C1,1263
Café Vasco da Gama,4.4,45.5006345,-73.5745293,1472 Peel St,H3A 1S8,770
Liv salades,3.7,45.5247059,-73.5968312,5350 St Laurent Blvd,H2T 1S1,61
Copper Branch,3.7,45.50781,-73.565201,"Complexe Desjardins, 150 Saint-Catherine St W",H2X 3Y2,67
Resto Végo St-Denis,4.3,45.5154587,-73.5646343,1720 Saint Denis St,H2X 3K6,1569
Obscène Végan,3.4,45.5143258,-73.572431,17 Rue Prince-Arthur E,H2X 1B2,30
LOV,4.3,45.4974058,-73.5746344,1232 Rue de la Montagne,H3G 1Z1,1666
Foodchain,4.4,45.5015664,-73.5708183,1212 McGill College Ave,H3B 4J8,357
Copper Branch,4,45.5067962,-73.6625626,2392 Lucerne Rd,H3R 2J8,295
LOV,4.4,45.5006017,-73.5590705,464 McGill St,H2Y 2H2,2441
Mimi & Jones,4.6,45.5201967,-73.5967414,5149 Park Ave,H2V 4G3,222
Sham Mont-Royal,4.9,45.530606,-73.5770135,1371 Mont-Royal Ave E,H2S 1B4,192
SPIRULINA,4.3,45.4786547,-73.6032037,392 Victoria Ave,H3Z 2N4,44
Hello 123,4.6,45.4743285,-73.6237128,5700 Monkland Ave,H4A 1E4,533
Panthère Verte / Green Panther Organic Plant Based Restaurant,4.4,45.5271629,-73.5974463,160 St Viateur St. E,H2T 1A8,938
Archway,4.7,45.4669696,-73.56676,3683 Wellington St,H4G 1V1,372
Aux Vivres Plateau,4.5,45.5211797,-73.5883938,4631 St Laurent Blvd,H2T 1R2,2722
Lola Rosa Café,4.5,45.5073078,-73.5757826,545 Rue Milton,H2X 1W5,1538
Copper Branch,4.1,45.5294325,-73.5780517,1251 Mont-Royal Ave E,H2J 1Y4,596
Green Panther Organic,4.4,45.5216106,-73.5851816,145 Mont-Royal Ave E,H2T 1N9,695
Restaurant Tendresse,4.7,45.519173,-73.5557668,1259 St Catherine St E,H2L 2H3,545
Muffin Plus,4,45.489027,-73.58587,1500 Atwater Place Alexis Nihon,H3Z 1X5,42
Copper Branch,4,45.5041066,-73.5711053,600 Boul. de Maisonneuve Ouest,H3A 3J2,504
Shushu Haru,4.9,45.4794868,-73.5716017,2602 Saint-Patrick St.,H3K 1B8,49
Burger Fiancé,4.6,45.501407,-73.5594186,417 Notre-Dame St W,H2Y 1V2,580
ECOLLEGEY- Marché Santé / Bio / Organic / Vegan / Vegetarian - Seafood / Fromagerie - Delivery,4.1,45.4700592,-73.6281819,6131 Monkland Ave,H4A 1H5,166
La Prep,2.9,45.5008056,-73.5603556,612 Rue Saint-Jacques,H3C 4M8,15
Toasties,4.7,45.4880779,-73.8499027,4712 Boul. Saint-Jean,H9H 4B2,354
La Fabrique de Bagel Montréal - Westmount,4.1,45.4875857,-73.5862882,4084 Saint-Catherine St W,H3Z 1P2,57
Cultures,,45.495802,-73.572626,1360 René-Lévesque Blvd W,H3G 2W4,0
The Midnight Kitchen,5,45.5035806,-73.5781636,3480 Mc Tavish St,H3A 0E7,5
Cultures,2.2,45.498175,-73.566385,1000 Rue De La Gauchetière O,H3B 4W5,19
Copper Branch,3.6,45.4968795,-73.5557479,"SAP Building, 111 Blvd Robert-Bourassa",H3C 2M1,84
Freshii,3.7,45.5006033,-73.5747312,1102 Boul. de Maisonneuve Ouest,H3A 1M7,216
Bowled,4.8,45.4815015,-73.6306782,5476 Queen Mary Rd,H3X 1V6,9
Copper Branch Stanley,4.3,45.5000064,-73.575442,"1180 boul. de Maisonneuve Ouest, Stanley St",H3A 1N5,120
Mandy's,3.9,45.4852617,-73.8011776,"11602-B De, Salaberry Blvd",H9B 2R8,385
Akai Bowl Health food smoothie and bowl of Acai,4.9,45.5029123,-73.5716799,705 Saint-Catherine St W,H3B 4G5,51
Bagels on Greene,4.4,45.4862525,-73.5875134,4160 Saint-Catherine St,H3Z 1P4,723
Subway,3.8,45.4578709,-73.7499034,"Intl Airport-Air Terminal Bldg, boul. Roméo-Vachon N",H4Y 1H1,652
