Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Via,4.4,45.5928982,-73.6288672,4711 Rue d'Amiens,,220
Pizza Hut TMR,3.2,45.5047796,-73.643123,3777 Rue Jean-Talon O,H3R 2G4,274
Pizza Dagostino,4.5,45.6247836,-73.5989825,7470 Bd Maurice-Duplessis,H1E 3Y1,248
Mikasa Sushi Bar,4,45.5620725,-73.7456195,175 Prom. Du Centropolis,H7T 0B3,559
Restaurant Homa - Apportez votre vin,4.3,45.5813701,-73.5309443,6830 Rue Hochelaga,H1N 1Y4,259
Giulietta Pizzéria,4.1,45.600357,-73.6095199,5950 Bd des Grandes-Prairies,H1P 1A2,301
Restaurant Rizière,4.8,45.520141,-73.5862005,4495 St Laurent Blvd,H2W 1Z8,355
Pizza 4 Frères,4.1,45.5887641,-73.5598754,6646 Rue Beaubien E,H1M 3B3,433
Caffe Un Po' Di Piu,4.4,45.5055737,-73.5532532,3 Rue de la Commune E,H2Y 0B1,378
Nouveau Chaumont,4.2,45.609809,-73.548106,8621 Av. Chaumont,H1K 1N3,134
Pizza Il Focolaio,4.6,45.504014,-73.56821,1223 R. du Square-Phillips,H3B 3E9,4994
Restaurant Paragon (Jarry),3.9,45.5766222,-73.5976505,4640 Rue Jarry E,H1R 1X3,457
Pizza Roma,4,45.5397268,-73.6335852,8251 St Laurent Blvd,H2P 2M1,226
Deuxlux,4.3,45.53722,-73.6072235,"6703 de, Av. De Chateaubriand",H2S 2N9,175
Gerry's Delicatessen,3.9,45.5493194,-73.5416597,3982 Ontario St E,H1W 1S9,1331
Restaurant Shekz,4.2,45.6234916,-73.6011289,7272 Bd Maurice-Duplessis,H1E 4A7,185
Knuckles Cantine & Vins,4.7,45.5412618,-73.6301822,241 Rue Jarry E,H2P 1T6,188
Pizza Ekoo,3.7,45.6177753,-73.6151489,11861 Bd Langelier,,142
Sushi Shoten Beaubien,5,45.5546375,-73.5862681,3226 Rue Beaubien E,H1Y 1H7,133
L'Usine de Spaghetti,4.4,45.5081871,-73.5522983,273 Rue Saint-Paul E,H2Y 1H2,2073
La Baia Dei Formaggi,4.7,45.5475363,-73.6076594,1715 Rue Jean-Talon E,H2E 1T3,229
Le Rose-Marie,4.6,45.5277986,-73.5497258,"Entrée sur Maisonneuve, 1550 Rue Fullum",H2K 3M4,279
Antipode,4.7,45.5351113,-73.5820662,1602 Laurier Ave E,H2J 1H9,222
Rooftop Bates Restaurant,4.8,45.5163448,-73.6274538,184 Ch. Bates,H2V 1B2,11
Panthère Verte / Green Panther Organic Plant Based Restaurant,4.4,45.5271629,-73.5974463,160 St Viateur St. E,H2T 1A8,937
Larrys,4.5,45.5241343,-73.5948195,5201 St Laurent Blvd,H2T 1S4,847
Capitaine Sandwich,4.8,45.5183185,-73.5783183,"4050 de, Rue de Bullion",H2W 2E5,270
Le Virunga,4.6,45.5240844,-73.5761953,851 Rue Rachel E,H2J 2H9,264
Wilensky's Light Lunch Inc,4.6,45.5233617,-73.5947831,34 Av. Fairmount O,H2T 2M1,902
Café chez Téta,4.8,45.5202377,-73.5799072,227 Rue Rachel E,H2W 1E4,464
Caffé Grazie-Mille Fairmount,4.6,45.5231759,-73.5949513,58 Av. Fairmount O,H2T 2M2,312
Fenêtre Sur Kaboul,4.3,45.5244013,-73.5759543,901 Rue Rachel E,H2J 2J2,673
Rites Berberes Restaurant,3.5,45.5230505,-73.5877811,4697 Rue de Bullion,H2T 1Y8,81
Pizza Pizza,3.5,45.520197,-73.597488,5184 Park Ave,H2V 4G6,359
Khyber Pass Restaurant,4.5,45.5218722,-73.5746611,506 Duluth Ave E,H2L 1A7,1411
La Maison Grecque,4.2,45.5213236,-73.5752217,450 Duluth Ave E,H2L 1A5,889
La Marinara Express,5,45.5203438,-73.5909048,4808 Rue Saint-Urbain,H2T 2W2,1
Monsieur B,4.1,45.525025,-73.586277,371 Rue Villeneuve E,H2J 2L5,319
Rita,4.6,45.4670473,-73.5667602,3681 Wellington St,H4G 1V1,624
Cora,4,45.530719,-73.576485,1396 Mont-Royal Ave E,H2J 1Y7,638
Pizza Madona,3.9,45.5330207,-73.5528586,2002 Rue Frontenac,H2K 1W5,130
Pizza YE,4.2,45.6045547,-73.5305616,8715 Sherbrooke St E,H1L 1C1,319
Café Buongiorno,4.7,45.5855152,-73.5802969,5833 Rue Jean-Talon E,H1S 1M4,57
Cafe Baristello Jarry,4.9,45.545604,-73.627263,709B Rue Jarry E,H2P 1W2,268
Da Enrico Pizzeria,3.5,45.5340954,-73.6095437,264 Rue Saint-Zotique E,H2S 1L3,198
BOSSA Prêt à manger,4.8,45.5495144,-73.5736802,3136 Rue Masson,H1Y 1X8,248
Restaurant Le Vieux Four de Laval,4.3,45.6114084,-73.6449366,5070 Boul Lévesque E,H7C 1N1,716
Les Deux Fours,4.3,45.5512989,-73.599495,2379 Bélanger Est,H2G 1E4,749
Pizza Le Regal,3.9,45.598169,-73.6399801,4334 Boul Henri-Bourassa E,H1H 1L8,76
Restaurant Buon Gusto Inc,4.6,45.599898,-73.684043,2495 Boul Saint-Martin Est,H7E 4X6,631
Gema Pizzeria,4.5,45.5333468,-73.6129903,6827 Saint Dominique St.,H2S 3B1,1111
Martini Pizzeria,4.2,45.5503452,-73.6509733,9481 Rue Lajeunesse,H2M 1S5,424
Moccione Pizza,4.8,45.5404455,-73.6230275,380 Rue Villeray,H2R 1G9,64
Primo & Secondo,4.6,45.5344664,-73.615481,7023 Saint Dominique St.,H2S 3B6,159
Restaurant La Corvette,4.2,45.5471227,-73.5756414,2801 Rue Masson,H1Y 2S8,351
Pizzeria Napoletana,4,45.5343792,-73.612602,189 Rue Dante,H2S 1K1,3180
Miteras Pizzeria,3.9,45.5446631,-73.587619,2320 Bd Rosemont,H2G 1T8,237
Café Novanta,4.8,45.5219632,-73.593476,90 Av. Laurier O,H2T 2N4,146
Clébard,3.8,45.5245968,-73.5836371,4557 Saint Denis St,H2J 2L4,1115
Juliette & Chocolat,4.2,45.5138499,-73.5727642,3600 St Laurent Blvd,H2X 2V4,2392
Aldea,4.6,45.519576,-73.5848344,4403 St Laurent Blvd,H2W 1Z8,385
Restaurant Zaika,4.3,45.5221345,-73.5776314,420 Rue Rachel E,H2J 2G7,318
Smile Chez Clara,4.4,45.5256278,-73.5987806,5486 St Laurent Blvd,H2T 1S1,218
La Petite Marche,4.1,45.5267457,-73.5886482,5035 Saint Denis St,H2J 2L9,1227
ACROPOLIS PIZZA - Resto Grec / Italien,3.6,45.5940501,-73.5499639,7291 Av. de la Malicorne,H1M 1H2,424
Aux Iles Bleues,4.4,45.5233028,-73.5733833,900 Duluth Ave E,H2L 1B6,271
Le Square,4.2,45.515444,-73.5710385,162 Rue Prince-Arthur E,H2X 1B7,368
Fameux Viande Fumée Et Charcuterie,3.8,45.523861,-73.583154,4500 Saint Denis St,H2J 2L3,755
La Prunelle,4.1,45.5201265,-73.5766065,327 Av. Duluth E,H2W 1J1,626
