,Centre,Addresse,Quartier,Lat,Lon,NOM
0,Auditorium (C-5) du cégep de Saint-Laurent,"635, avenue Sainte-Croix, Montréal",Saint-Laurent,45.5119553184466,-73.67286650873787,Saint-Laurent
1,Bain Saint-Michel,"5300, rue Saint-Dominique, Montréal",Le Plateau-Mont-Royal,45.5251492,-73.5954746,Le Plateau-Mont-Royal
2,Benny Fab,"6400, avenue de Monkland, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4663823,-73.6309558,Côte-des-Neiges-Notre-Dame-de-Grâce
3,Bibliothèque Belleville,"10400, avenue de Belleville, Montréal",Montréal-Nord,45.581939399999996,-73.64229353880937,Montréal-Nord
4,Bibliothèque Benny,"6400, avenue de Monkland, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4663823,-73.6309558,Côte-des-Neiges-Notre-Dame-de-Grâce
5,Bibliothèque d'Ahuntsic,"10300, rue Lajeunesse, Montréal",Ahuntsic-Cartierville,45.553483,-73.6626049,Ahuntsic-Cartierville
6,Bibliothèque de Cartierville,"5900, rue de Salaberry, Montréal",Ahuntsic-Cartierville,45.5272448,-73.7128614,Ahuntsic-Cartierville
7,Bibliothèque de Côte-des-Neiges,"5290, chemin de la Côte-des-Neiges, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4959208,-73.62230323536173,Côte-des-Neiges-Notre-Dame-de-Grâce
8,Bibliothèque de L'Île-Bizard,"500, montée de l'Église, Montréal",L'Île-Bizard–Sainte-Geneviève,45.4886567,-73.8823134,L'Île-Bizard-Sainte-Geneviève
9,Bibliothèque de L'Île-des-Sœurs,"260, rue Elgar, Montréal",Verdun,45.4572081,-73.5468802,Verdun
10,Bibliothèque de La Petite-Patrie,"6707, avenue De Lorimier, Montréal",Rosemont–La Petite-Patrie,45.5474061,-73.5982926,Rosemont-La Petite-Patrie
11,Bibliothèque de Notre-Dame-de-Grâce,"3755, rue Botrel, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4755031,-73.6143992,Côte-des-Neiges-Notre-Dame-de-Grâce
12,Bibliothèque de Parc-Extension,"421, rue Saint-Roch, Montréal",Villeray–Saint-Michel–Parc-Extension,45.5314163,-73.6289844,Villeray-Saint-Michel-Parc-Extension
13,Bibliothèque de Pierrefonds,"13555, boulevard de Pierrefonds, Montréal",Pierrefonds-Roxboro,45.4960289,-73.8475197,Pierrefonds-Roxboro
14,Bibliothèque de Pointe-aux-Trembles,"14001, rue Notre-Dame Est, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.5858544,-73.5078805,Mercier-Hochelaga-Maisonneuve
15,Bibliothèque de Rivière-des-Prairies,"9001, boulevard Perras, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.6499172,-73.5790735,Rivière-des-Prairies-Pointe-aux-Trembles
16,Bibliothèque de Rosemont,"3131, boul. Rosemont, Montréal",Rosemont–La Petite-Patrie,45.5519484,-73.58222239936559,Rosemont-La Petite-Patrie
17,Bibliothèque de Saint-Léonard,"8420, boulevard Lacordaire, Montréal",Saint-Léonard,45.5866552,-73.5977342,Saint-Léonard
18,Bibliothèque de Saint-Michel,"7601, rue François-Perrault, Montréal",Villeray–Saint-Michel–Parc-Extension,45.5621974,-73.6020202,Villeray-Saint-Michel-Parc-Extension
19,Bibliothèque de Saint-Pierre,"183, rue des Érables, Montréal",Lachine,45.4457062,-73.6513223,Lachine
20,Bibliothèque de Salaberry,"4170, rue De Salaberry, Montréal",Ahuntsic-Cartierville,45.5346141,-73.7038342,Ahuntsic-Cartierville
21,Bibliothèque du Boisé,"2727, boulevard Thimens, Montréal",Saint-Laurent,45.5044581,-73.7048768,Saint-Laurent
22,Bibliothèque du Haut-Anjou,"7070, rue Jarry Est, Montréal",Anjou,45.6011728,-73.5756429,Anjou
23,Bibliothèque du Plateau-Mont-Royal,"465, avenue du Mont-Royal Est, Montréal",Le Plateau-Mont-Royal,45.5248812,-73.5824623,Le Plateau-Mont-Royal
24,Bibliothèque du Vieux-Saint-Laurent,"1380, rue de l'Église, Montréal",Saint-Laurent,45.5126182,-73.6765411,Saint-Laurent
25,Bibliothèque Frontenac,"2550, rue Ontario Est, Montréal",Ville-Marie,45.5329177,-73.5517134,Ville-Marie
26,Bibliothèque Henri-Bourassa,"5400, boulevard Henri-Bourassa Est, Montréal",Montréal-Nord,45.604629149999994,-73.62501744448745,Montréal-Nord
27,Bibliothèque Hochelaga,"1870, rue Davidson, Montréal",Mercier–Hochelaga-Maisonneuve,45.5424316,-73.545177,Mercier-Hochelaga-Maisonneuve
28,Bibliothèque interculturelle,"6767, chemin de la Côte-des-Neiges, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.5032164,-73.636872,Côte-des-Neiges-Notre-Dame-de-Grâce
29,Bibliothèque Jacqueline-De Repentigny,"5955, avenue Bannantyne, Montréal",Verdun,,,
30,Bibliothèque Jean-Corbeil,"7500, avenue Goncourt, Montréal",Anjou,45.6030237,-73.5587928,Anjou
31,Bibliothèque Julio-Jean-Pierre (MCC),"12002, boulevard Rolland, Montréal",Montréal-Nord,45.616093,-73.6206211,Montréal-Nord
32,Bibliothèque L'Octogone,"2101, avenue Dollard, Montréal",LaSalle,45.4311208,-73.6351539,LaSalle
33,Bibliothèque Langelier,"6473, rue Sherbrooke Est, Montréal",Mercier–Hochelaga-Maisonneuve,45.5816816,-73.544147,Mercier-Hochelaga-Maisonneuve
34,Bibliothèque Le Prévost,"7355, avenue Christophe-Colomb, Montréal",Villeray–Saint-Michel–Parc-Extension,45.54402605,-73.61432646549338,Villeray-Saint-Michel-Parc-Extension
35,Bibliothèque Maisonneuve,"4115, rue Ontario Est, 4e étage, Montréal",Mercier–Hochelaga-Maisonneuve,,,
36,Bibliothèque Marc-Favreau,"500, boulevard Rosemont, Montréal",Rosemont–La Petite-Patrie,45.531842100000006,-73.59720843146448,Rosemont-La Petite-Patrie
37,Bibliothèque Marie-Uguay,"6052, boulevard Monk, Montréal",Le Sud-Ouest,45.4576905,-73.5954481,Le Sud-Ouest
38,Bibliothèque Mercier,"8105, rue Hochelaga, Montréal",Mercier–Hochelaga-Maisonneuve,45.5955039,-73.5236768,Mercier-Hochelaga-Maisonneuve
39,Bibliothèque Mordecai-Richler,"5434, avenue du Parc, Montréal",Le Plateau-Mont-Royal,45.521629000000004,-73.60174084263804,Le Plateau-Mont-Royal
40,Bibliothèque Père-Ambroise,"2093, rue de la Visitation, Montréal",Ville-Marie,45.522823,-73.5626642,Ville-Marie
41,Bibliothèque Réjean-Ducharme,"2450, rue Workman, Montréal",Le Sud-Ouest,45.4836471,-73.5751464,Le Sud-Ouest
42,Bibliothèque Robert-Bourassa,"41, avenue Saint-Just, Montréal",Outremont,45.51795985,-73.60837244653848,Outremont
43,Bibliothèque Saint-Charles,"1050, rue d'Hibernia, Montréal",Le Sud-Ouest,45.4792104,-73.5635483,Le Sud-Ouest
44,Bibliothèque Saint-Henri,"4707, rue Notre-Dame Ouest, Montréal",Le Sud-Ouest,45.4726461,-73.5891097,Le Sud-Ouest
45,Bibliothèque Saul-Bellow,"3100, rue Saint-Antoine, Montréal",Lachine,45.4398384,-73.6921014,Lachine
46,Bibliothèque William-G.-Boll,"110, rue Cartier, Montréal",Pierrefonds-Roxboro,45.5026224,-73.8145453,Pierrefonds-Roxboro
47,Bibliothèque Yves-Ryan,"4740, rue de Charleroi, Montréal",Montréal-Nord,45.5965067,-73.6315415,Montréal-Nord
48,Biodôme de Montréal,"4777, avenue Pierre-De Coubertin, Montréal",Mercier–Hochelaga-Maisonneuve,45.5596817,-73.5495704,Mercier-Hochelaga-Maisonneuve
49,Biosphère,"160, chemin du Tour de l'isle, Montréal",Ville-Marie,45.51941407191589,-73.53360614275512,Ville-Marie
50,Carrefour récréatif et communautaire de LaSalle,"8700, rue Hardy, Montréal",LaSalle,45.4331428,-73.635921,LaSalle
51,Caverne de Saint-Léonard,"5200, boulevard Lavoisier, Montréal",Saint-Léonard,45.5876144,-73.6100005,Saint-Léonard
52,Centre communautaire d'Ahuntsic,"10780, rue Laverdure, Montréal",Ahuntsic-Cartierville,45.5523957,-73.67198050817895,Ahuntsic-Cartierville
53,Centre communautaire d'Anjou,"7800, boulevard Métropolitain Est, Montréal",Anjou,45.6422597,-73.5328755,Montréal-Est
54,Centre communautaire de loisirs Sainte-Catherine d’Alexandrie,"1700, rue Atateken, Montréal",Ville-Marie,45.518892676470585,-73.56045655294118,Ville-Marie
55,Centre communautaire de Rivière-des-Prairies,"9140, boulevard Perras, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.650222,-73.5775008,Rivière-des-Prairies-Pointe-aux-Trembles
56,Centre communautaire Elgar,"260, rue Elgar, Montréal",Verdun,45.4572081,-73.5468802,Verdun
57,Centre communautaire Gerry-Robertson,"9665, boulevard Gouin Ouest, Montréal",Pierrefonds-Roxboro,45.5048631,-73.7853577,Pierrefonds-Roxboro
58,Centre communautaire intergénérationnel,"999, avenue McEachran, Montréal",Outremont,45.5199735,-73.61951115178306,Outremont
59,Centre communautaire Marcel-Giroux,"4501, avenue Bannantyne, Montréal",Verdun,,,
60,Centre communautaire Marcel-Morin,"14068, boulevard Gouin Ouest, Montréal",Pierrefonds-Roxboro,45.495411450000006,-73.85079678565933,Pierrefonds-Roxboro
61,Centre communautaire Roussin,"12125, rue Notre-Dame Est, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.5858544,-73.5078805,Mercier-Hochelaga-Maisonneuve
62,Centre communautaire Saint-Pierre,"69, avenue Saint-Pierre, Montréal",Lachine,45.44396734035087,-73.64879321403508,Lachine
63,Centre communautaire Sainte-Maria-Goretti,"15912, rue Notre-Dame Est, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.5858544,-73.5078805,Mercier-Hochelaga-Maisonneuve
64,Centre culturel Calixa-Lavallée,"3819, avenue Calixa-Lavallée, Montréal",Le Plateau-Mont-Royal,45.5270684,-73.5693956,Le Plateau-Mont-Royal
65,Centre culturel de Notre-Dame-de-Grâce,"6400, avenue de Monkland, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4663823,-73.6309558,Côte-des-Neiges-Notre-Dame-de-Grâce
66,Centre culturel de Pierrefonds,"13850, boulevard Gouin Ouest, Montréal",Pierrefonds-Roxboro,45.4966015,-73.8492122,Pierrefonds-Roxboro
67,Centre culturel et communautaire de Cartierville,"12225, rue Grenet, Montréal",Ahuntsic-Cartierville,45.530242,-73.715862,Ahuntsic-Cartierville
68,Centre culturel et communautaire Henri-Lemieux,"7644, rue Édouard, Montréal",LaSalle,45.4308552,-73.5943567,LaSalle
69,Centre d'activités communautaires Le Carignan,"11479, avenue P.-M.-Favier, Montréal",Montréal-Nord,45.6103642,-73.6170414,Montréal-Nord
70,Centre d'activités communautaires Primeau,"10958, avenue Pelletier, Montréal",Montréal-Nord,45.5927611,-73.6339487,Montréal-Nord
71,Centre d'activités communautaires Saint-Laurent,"11614, avenue Salk, Montréal",Montréal-Nord,45.6064452,-73.6290272,Montréal-Nord
72,Centre d'activités communautaires Sauvé,"11440, avenue Éthier, Montréal",Montréal-Nord,45.5997791,-73.6354184,Montréal-Nord
73,Centre d'exposition Lethbridge,"2727, boulevard Thimens, Montréal",Saint-Laurent,45.5044581,-73.7048768,Saint-Laurent
74,Centre de loisirs Monseigneur Pigeon,"5555, rue Angers, Montréal",Le Sud-Ouest,45.4618413,-73.5846931,Le Sud-Ouest
75,Centre de loisirs Montréal-Nord,"11121, avenue Salk, Montréal",Montréal-Nord,45.6011919,-73.6231119,Montréal-Nord
76,Centre de loisirs multiethnique Saint-Louis,"3555, rue Saint-Urbain, Montréal",Le Plateau-Mont-Royal,45.512240192682924,-73.57242882195122,Le Plateau-Mont-Royal
77,Centre des loisirs de Saint-Laurent,"1375, rue Grenet, Montréal",Saint-Laurent,45.5141591,-73.6908893,Saint-Laurent
