Addresse,titre,price,piece,sqfeet_building,sqfeet_terrain,car_score,cafe_score,walk_score,park_score,beds,baths,image,quiet_score,cycling_score,transit_score,vibrant_score,daycares_score,primary_score,shopping_score,groceries_score,nightlife_score,restaurant_score,high_school_score,Lat,Lon,NOM,URL
"11355, Rue De La Gauchetière, Montréal",Triplex à vendre,485 000 $,,,5 000 pc,8,4,5,6,,,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA31F02DDDDDDDDDD2&t=pi&w=640&h=480&sm=c,10,6,5,2,9,9,4,8,2,4,5,45.631948,-73.5008935,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"73, Avenue Broadway, Montréal",Condo à vendre,259 000 $,5 pièces,630 pc,,10,3,5,6,2 chambres,1 salle de bain,https://mspublic.centris.ca/media.ashx?id=ADDD250DC08DD1ADDDDDDDDDDB&t=pi&w=640&h=480&sm=c,6,6,5,2,9,9,4,8,2,4,4,45.63129751,-73.50182709,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"11136, Rue Dorchester, Montréal",Maison à vendre,394 000 $,11 pièces,,6 575 pc,9,2,3,6,3 chambres,3 salles de bain,https://mspublic.centris.ca/media.ashx?id=ADDD250DCE9DDBFDDDDDDDDDD0&t=pi&w=640&h=480&sm=c,0,6,4,2,9,9,4,8,2,4,3,45.6292315,-73.5049201,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"2730, Avenue Georges-V, Montréal",Condo à vendre,245 000 $,5 pièces,996 pc,,8,5,5,7,2 chambres,1 salle de bain,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA6ABE5DDDDDDDDDDE&t=pi&w=640&h=480&sm=c,7,5,6,3,8,9,5,8,3,5,3,45.6127191,-73.5184223,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"252, Avenue Champêtre, Montréal",Maison à vendre,307 500 $,8 pièces,,4 325 pc,9,3,3,6,2 chambres,1 salle de bain et 1 salle d'eau,https://mspublic.centris.ca/media.ashx?id=ADDD250DC086010DDDDDDDDDDB&t=pi&w=640&h=480&sm=c,6,6,5,2,8,9,4,7,2,4,4,45.6300924,-73.507311,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"196, Avenue Dubé, Montréal",Triplex à vendre,689 000 $,,2 400 pc,4 661 pc,8,4,5,6,,,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA6AF9CDDDDDDDDDD4&t=pi&w=640&h=480&sm=c,8,6,5,2,8,8,4,8,2,4,6,45.6321293,-73.4982685,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"11150, Rue Dorchester, Montréal",Maison à vendre,469 500 $,9 pièces,,4 130 pc,8,3,4,6,3 chambres,1 salle de bain,https://mspublic.centris.ca/media.ashx?id=ADDD250DC012BD6DDDDDDDDDDB&t=pi&w=640&h=480&sm=c,4,6,4,2,9,10,4,8,2,4,3,45.6298563,-73.5046086,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"152, Avenue Saint-Cyr, Montréal",Maison à vendre,394 000 $,9 pièces,,5 720 pc,8,4,5,6,3 chambres,3 salles de bain,https://mspublic.centris.ca/media.ashx?id=ADDD250DC01969EDDDDDDDDDDB&t=pi&w=640&h=480&sm=c,9,7,5,2,8,9,4,8,3,4,6,45.63391564,-73.50155715,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"11355, Rue De La Gauchetière, Montréal",Maison à vendre,485 000 $,5 pièces,,5 000 pc,8,4,5,6,3 chambres,1 salle de bain,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA766FADDDDDDDDDD1&t=pi&w=640&h=480&sm=c,10,6,5,2,9,9,4,8,2,4,5,45.631948,-73.5008935,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"159, Avenue Lelièvre, Montréal",Maison à vendre,329 900 $,12 pièces,,2 089 pc,8,3,5,6,4 chambres (1 au sous-sol),1 salle de bain et 1 salle d'eau,https://mspublic.centris.ca/media.ashx?id=ADDD250DCABA38CDDDDDDDDDDB&t=pi&w=640&h=480&sm=c,8,6,5,2,9,10,4,8,2,4,4,45.630411,-73.5043034,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"160, Avenue de la Grande-Allée, Montréal",Triplex à vendre,839 000 $,,,4 160 pc,9,3,5,6,,,https://mspublic.centris.ca/media.ashx?id=ADDD250DCC2C303DDDDDDDDDDE&t=pi&w=640&h=480&sm=c,9,6,5,2,8,9,4,8,2,4,5,45.6308969,-73.5045034,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"10977, Rue Notre-Dame Est, Montréal",Duplex à vendre,289 000 $,,,2 739 pc,9,3,5,6,,,https://mspublic.centris.ca/media.ashx?id=ADDD250DC0F84CBDDDDDDDDDDC&t=pi&w=640&h=480&sm=c,9,6,5,2,8,9,4,8,2,4,5,45.62672126,-73.50124632,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"320, Avenue des Vétérans, Montréal",Maison à vendre,460 000 $,8 pièces,,4 085 pc,10,3,4,6,4 chambres (1 au sous-sol),2 salles de bain,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA4C0EFDDDDDDDDDDD&t=pi&w=640&h=480&sm=c,6,5,5,2,8,8,4,7,1,4,5,45.63156927,-73.50865019,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"103, Avenue de la Grande-Allée, Montréal",Triplex à vendre,495 000 $,,,1 693 pc,8,3,5,6,,,https://mspublic.centris.ca/media.ashx?id=ADDD250DCC50444DDDDDDDDDDE&t=pi&w=640&h=480&sm=c,8,6,5,2,9,10,4,8,2,4,4,45.63079993,-73.50284467,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
"2730, Avenue Georges-V, Montréal",Condo à vendre,249 900 $,4 pièces,990 pc,,8,5,5,7,2 chambres,1 salle de bain,https://mspublic.centris.ca/media.ashx?id=ADDD250D26D6512DDDDDDDDDDE&t=pi&w=640&h=480&sm=c,7,5,6,3,8,9,5,8,3,5,3,45.6127191,-73.5184223,Montréal-Est,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/28502502?view=Summary
