,Addresse,Titre,price,piece,sqfeet_building,sqfeet_terrain,car_score,cafe_score,walk_score,park_score,quiet_score,cycling_score,transit_score,vibrant_score,daycares_score,primary_score,shopping_score,groceries_score,nightlife_score,restaurant_score,high_school_score,Lat,Lon,NOM
0,"1, Avenue Wood, Westmount, Montréal",Condo à vendre,749 000 $,5 pièces,1 040 pc,,5,8,10,10,3,5,10,7,9,9,10,10,7,9,9,45.4875343,-73.5870425,Westmount
1,"1, Avenue Wood, Westmount, Montréal",Condo à vendre,1 325 000 $,5 pièces,1 536 pc,,5,8,10,10,3,5,10,7,9,9,10,10,7,9,9,45.4875343,-73.5870425,Westmount
2,"1, Avenue Wood, Westmount, Montréal",Condo à vendre,2 550 000 $,6 pièces,1 996 pc,,5,8,10,10,3,5,10,7,9,9,10,10,7,9,9,45.4875343,-73.5870425,Westmount
3,"1, boulevard De Maisonneuve Ouest, Montréal",Condo à vendre,1 090 000 $,8 pièces,1 057 pc,,4,9,10,10,5,9,10,10,10,7,10,10,9,9,8,45.4696287,-73.6115176,Côte-des-Neiges-Notre-Dame-de-Grâce
4,"1, boulevard De Maisonneuve Ouest, Montréal",Condo à vendre,875 000 $,7 pièces,813 pc,,5,8,8,10,0,5,10,7,8,10,10,9,7,9,10,45.4696287,-73.6115176,Côte-des-Neiges-Notre-Dame-de-Grâce
5,"1, boulevard De Maisonneuve Ouest, Montréal",Condo à vendre,374 900 $,4 pièces,458 pc,,7,6,7,9,0,4,10,5,9,9,8,9,4,7,9,45.4696287,-73.6115176,Côte-des-Neiges-Notre-Dame-de-Grâce
6,"1, boulevard De Maisonneuve Ouest, Montréal",Loft / Studio à vendre,395 000 $,2 pièces,357 pc,,4,10,10,10,7,8,10,10,10,7,10,10,9,10,9,45.4696287,-73.6115176,Côte-des-Neiges-Notre-Dame-de-Grâce
7,"1, boulevard De Maisonneuve Ouest, Montréal",Loft / Studio à vendre,327 000 $,2 pièces,266 pc,,6,10,10,10,5,9,10,10,10,7,10,10,9,9,9,45.4696287,-73.6115176,Côte-des-Neiges-Notre-Dame-de-Grâce
8,"1, boulevard De Maisonneuve Ouest, Montréal",Condo à vendre,419 500 $,4 pièces,473 pc,,5,10,10,10,5,8,10,9,10,9,10,10,9,10,9,45.4696287,-73.6115176,Côte-des-Neiges-Notre-Dame-de-Grâce
9,"1, boulevard De Maisonneuve Ouest, Montréal",Condo à vendre,439 000 $,5 pièces,542 pc,,4,10,10,10,7,8,10,10,10,7,10,10,9,10,9,45.4696287,-73.6115176,Côte-des-Neiges-Notre-Dame-de-Grâce
