,Centre,Addresse,Quartier,Lat,Lon,NOM
0,Mairie d'arrondissement d'Ahuntsic-Cartierville,"555, rue Chabanel Ouest",Ahuntsic-Cartierville,45.5379908,-73.6556712,Ahuntsic-Cartierville
1,Mairie d'arrondissement d'Anjou,"7701, boulevard Louis-H. La Fontaine",Anjou,45.617559,-73.598275,Rivière-des-Prairies-Pointe-aux-Trembles
2,Mairie d'arrondissement d'Outremont,"543, chemin de la Côte-Sainte-Catherine",Outremont,45.5144674,-73.6110796,Outremont
3,Mairie d'arrondissement de Côte-des-Neiges-Notre-Dame-de-Grâce,"5160, boul. Décarie, Montreal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4838596,-73.630791,Côte-des-Neiges-Notre-Dame-de-Grâce
4,Mairie d'arrondissement de L'Île-Bizard–Sainte-Geneviève,"350, montée de l’Église",L'Île-Bizard–Sainte-Geneviève,45.4870133,-73.8802701,L'Île-Bizard-Sainte-Geneviève
5,Mairie d'arrondissement de Lachine,"1800, boulevard Saint-Joseph",Lachine,45.4330223,-73.6809098,Lachine
6,Mairie d'arrondissement de LaSalle,"55, avenue Dupras",LaSalle,45.4273901,-73.6623174,LaSalle
7,Mairie d'arrondissement de Mercier–Hochelaga-Maisonneuve,"6854, rue Sherbrooke Est",Mercier–Hochelaga-Maisonneuve,45.5851221,-73.5414418,Mercier-Hochelaga-Maisonneuve
8,Mairie d'arrondissement de Montréal-Nord,"4243, rue de Charleroi",Montréal-Nord,45.5936187,-73.6378713,Montréal-Nord
9,Mairie d'arrondissement de Pierrefonds-Roxboro,"13665, boulevard de Pierrefonds",Pierrefonds-Roxboro,45.495386,-73.848155,Pierrefonds-Roxboro
10,Mairie d'arrondissement de Rosemont–La Petite-Patrie,"5650, rue D'Iberville",Rosemont–La Petite-Patrie,45.5442354,-73.5812131,Rosemont-La Petite-Patrie
11,Mairie d'arrondissement de Saint-Laurent,"777, boulevard Marcel-Laurin",Saint-Laurent,45.50727585,-73.68265154592885,Saint-Laurent
12,Mairie d'arrondissement de Saint-Léonard,"8400, boulevard Lacordaire",Saint-Léonard,45.586341149999996,-73.59683915339066,Saint-Léonard
13,Mairie d'arrondissement de Verdun,"4555, rue de Verdun",Verdun,45.4591035,-73.5733232,Verdun
14,Mairie d'arrondissement de Ville-Marie,"800, boulevard De Maisonneuve Est",Ville-Marie,45.5161679,-73.5601419,Ville-Marie
15,Mairie d'arrondissement de Villeray–Saint-Michel–Parc-Extension,"405, avenue Ogilvy",Villeray–Saint-Michel–Parc-Extension,45.5307008,-73.6249639,Villeray-Saint-Michel-Parc-Extension
16,Mairie d'arrondissement du Plateau-Mont-Royal,"201, avenue Laurier Est, Montreal",Le Plateau-Mont-Royal,45.5252059,-73.5910555,Le Plateau-Mont-Royal
