,Centre,Addresse,Quartier,Lat,Lon,NOM
0,Aire de repos 8e Avenue,"Boulevard Saint-Joseph, Montréal",Lachine,45.4411418,-73.6513683,Lachine
1,Bassin de la Brunante,"2476, rue des Harfangs, Montréal",Saint-Laurent,45.5104208,-73.7072845,Saint-Laurent
2,Belvédère Camillien-Houde,"Voie Camillien-Houde, Montréal",Ville-Marie,45.5132965,-73.5916535,Ville-Marie
3,Belvédère du Chemin-Qui-Marche,"1000 Rue de la Commune Est, Montréal",Ville-Marie,45.5137258,-73.5480087,Ville-Marie
4,Belvédère du parc-nature de la Pointe-aux-Prairies,"12300, boulevard Gouin Est, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.68594012554065,-73.52706663820013,Rivière-des-Prairies-Pointe-aux-Trembles
5,Belvédère du parc-nature du Bois-de-L'Île-Bizard,"2115 chemin du Bord-du-Lac, Montréal",L'Île-Bizard–Sainte-Geneviève,45.5133196,-73.8971675,L'Île-Bizard-Sainte-Geneviève
6,Belvédère du parc René-Lévesque,"398, chemin du Canal, Montréal",Lachine,45.4292864,-73.6699118,Lachine
7,Belvédère Kondiaronk,"1196, voie Camillien-Houde, Montréal",Ville-Marie,45.5089096595513,-73.59097514614436,Ville-Marie
8,Belvédère Léo-Ayotte,"Rue Roy Est, Montréal",Le Plateau-Mont-Royal,45.515882,-73.5755018,Le Plateau-Mont-Royal
9,Belvédère Terry-Fox,"5700, rue Saint-Jacques, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.46649155,-73.60928361513658,Côte-des-Neiges-Notre-Dame-de-Grâce
10,Belvédères du parc de Dieppe,"3400, avenue Pierre-Dupuy, Montréal",Ville-Marie,45.5026432,-73.5439462,Ville-Marie
11,Belvédères du parc des Rapides,"7770, boulevard LaSalle, Montréal",LaSalle,45.4262383,-73.5961642,LaSalle
12,Belvédères du parc Frédéric-Back,"2345, rue Jarry Est, Montréal",Villeray–Saint-Michel–Parc-Extension,45.5585435,-73.6161107,Villeray-Saint-Michel-Parc-Extension
13,Belvédères du parc-nature de l'Île-de-la-Visitation,"2425 Boulevard Gouin Est, Montréal",Ahuntsic-Cartierville,45.57849616056338,-73.65591692253521,Ahuntsic-Cartierville
14,Belvédères du parc-nature du Bois-de-Liesse,"9432, boulevard Gouin Ouest, Montréal","Pierrefonds-Roxboro, Saint-Laurent",45.5074518,-73.76265,Pierrefonds-Roxboro
15,Boisé du parc Marcel-Laurin,"Angle des boulevards Poirier et Cavendish, Montréal",Saint-Laurent,,,
16,Boisé Saint-Conrad,"Avenue Guy et avenue Chaumont, Montréal",Anjou,,,
17,Butte de glissade du parc des Rapides,"7770, boulevard LaSalle, Montréal",LaSalle,45.4262383,-73.5961642,LaSalle
18,Butte de glissade du parc Hayward,"Avenue Orchard, Montréal",LaSalle,45.4227349,-73.6475287,LaSalle
19,Butte de glissade du terrain de la mairie d'arrondissement de LaSalle,"55, avenue Dupras, Montréal",LaSalle,45.4273901,-73.6623174,LaSalle
20,Cabane à sucre du parc-nature du Cap-Saint-Jacques,"202 Chemin du Cap-Saint-Jacques, Montréal",Pierrefonds-Roxboro,45.4613528,-73.9205258,Pierrefonds-Roxboro
21,Carré d'Hibernia,"2333, rue Mullins, Montréal",Le Sud-Ouest,45.4788706535412,-73.56401847962488,Le Sud-Ouest
22,Chalet d'accueil des Champs du parc-nature du Bois-de-Liesse,"3555, rue Douglas-B.-Floreani, Montréal",Saint-Laurent,45.4994946,-73.7676556,Saint-Laurent
23,Chalet d'accueil du parc-nature de l'Île-de-la-Visitation,"2425 Boulevard Gouin Est, Montréal",Ahuntsic-Cartierville,45.57849616056338,-73.65591692253521,Ahuntsic-Cartierville
24,Chalet d'accueil du parc-nature du Bois-de-L'Île-Bizard,"2115, chemin du Bord-du-Lac, Montréal",L'Île-Bizard–Sainte-Geneviève,45.5133196,-73.8971675,L'Île-Bizard-Sainte-Geneviève
25,Chalet d'accueil du parc-nature du Cap-Saint-Jacques,"20099, boulevard Gouin Ouest, Montréal",Pierrefonds-Roxboro,45.4610271,-73.9205207,Pierrefonds-Roxboro
26,Chalet du Mont-Royal,"1196 Voie Camillien-Houde, Montréal",Ville-Marie,45.5089096595513,-73.59097514614436,Ville-Marie
27,Chalet du parc Aimé-Caron,"700, rue Muir, Montréal",Saint-Laurent,45.5211834,-73.6713278,Saint-Laurent
28,Chalet du Parc Aimé-Léonard,"4975 Boul. Gouin E, Montréal",Montréal-Nord,,,
29,Chalet du parc Alexander,"14899, rue Oakwood, Montréal",Pierrefonds-Roxboro,45.47494590931249,-73.8558238070867,Pierrefonds-Roxboro
30,Chalet du parc Alexis-Nihon,"2999, rue Badeaux, Montréal",Saint-Laurent,45.4972255,-73.6894491,Saint-Laurent
31,Chalet du parc Anderson,"Rue Fox, Montréal",Pierrefonds-Roxboro,45.4996277,-73.8463559,Pierrefonds-Roxboro
32,Chalet du parc André-Laurendeau,"8361, avenue André-Laurendeau, Montréal",Anjou,45.6043808,-73.571237,Anjou
33,Chalet du parc Armand-Bombardier,"12535, boulevard Armand-Bombardier, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.6330871,-73.5913113,Rivière-des-Prairies-Pointe-aux-Trembles
34,Chalet du parc Arthur-Therrien,"3750, boulevard Gaétan-Laberge, Montréal",Verdun,45.4647823,-73.5627,Verdun
35,Chalet du parc Baldwin,"4355 Fullum, Montréal",Le Plateau-Mont-Royal,45.5365886,-73.5680103,Le Plateau-Mont-Royal
36,Chalet du parc Beaubien,"6633, 6e Avenue, Montréal",Rosemont–La Petite-Patrie,45.5534327,-73.5922784,Rosemont-La Petite-Patrie
37,Chalet du parc Beaubien - Outremont,"461, chemin de la Côte-Sainte-Catherine, Montréal",Outremont,45.51489,-73.6085193,Outremont
38,Chalet du parc Beauclerk,"1855, avenue Émile-Legrand, Montréal",Mercier–Hochelaga-Maisonneuve,45.5811828,-73.5217204,Mercier-Hochelaga-Maisonneuve
39,Chalet du parc Beaulac,"1145, rue Elizabeth, Montréal",Saint-Laurent,45.5194452,-73.6786465,Saint-Laurent
40,Chalet du parc Benny,"Avenue Benny, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4671762,-73.6319912,Côte-des-Neiges-Notre-Dame-de-Grâce
