,Centre,Addresse,Quartier,Lat,Lon,NOM
0,Valois Park,"40 Av. de la Baie de Valois, Pointe-Claire, QC H9R 4B3",Pointe-Claire,45.45372,-73.79370,Pointe-Claire
1,Terra-Cotta Natural Park,"100 Av Terra-Cotta, Pointe-Claire, QC H9R 5A4",Pointe-Claire,45.44906,-73.80928,Pointe-Claire
2,Edgewater Park,"Chem. du Bord-du-Lac-Lakeshore, Pointe-Claire, QC H9S 5C8",Pointe-Claire,45.43075,-73.81900,Pointe-Claire
3,Hermitage Park,"137 Rue Hermitage, Pointe-Claire, QC H9R 2T6",Pointe-Claire,45.46496,-73.83912,Pointe-Claire
4,Point-Claire Village Park ,"289 Chem. du Bord-du-Lac-Lakeshore #277, Pointe-Claire, Quebec H9S 4K9",Pointe-Claire,45.42910,-73.82492,Pointe-Claire
5,Belmont Park ,"139 Av. Sunnyside, Pointe-Claire, QC H9R 3T9",Pointe-Claire,45.45263,-73.80165,Pointe-Claire
6,Clearpoint Park ,"40 Av. de Killarney Gardens, Pointe-Claire, QC H9S 4E2",Pointe-Claire,45.43590,-73.81848,Pointe-Claire
7,Parc Northview,"111 Av. Viking, Pointe-Claire, QC H9R 1K4",Pointe-Claire,45.46257,-73.8112,Pointe-Claire
8,Parc Empress,"st-Anne and, Chem. du Bord-du-Lac-Lakeshore, Pointe-Claire, QC",Pointe-Claire,45.45667,-73.81776,Pointe-Claire
9,Parc Ambassador,"Bord-du-Lac / Water's Edge, Pointe-Claire, QC H9S 4H5",Pointe-Claire,45.45112,-73.82336,Pointe-Claire
10,Parc d'Amberley,"98 Av. Windmill, Pointe-Claire, QC H9R 5B3",Pointe-Claire,45.43953,-73.83234,Pointe-Claire
11,Parc Alexandre-Bourgeau,"2 Av. Cartier, Pointe-Claire, QC H9S 4P6",Pointe-Claire,45.42781,-73.82099,Pointe-Claire
12,Club de golf Beauconsfield,"49 Av. du Golf, Pointe-Claire, QC H9S 4N6",Pointe-Claire,45.43564,-73.83023,Pointe-Claire
13,Parc Antoine-Pilon,"258 Chem. du Bord-du-Lac-Lakeshore, Pointe-Claire, QC H9S 4K9",Pointe-Claire,45.42882,-73.83038,Pointe-Claire
14,Parc Ovide,"23 Av. Ovide, Pointe-Claire, QC",Pointe-Claire,45.44427,-73.80273,Pointe-Claire
15,Parc Maple,"Pointe-Claire, QC H9S 4J3",Pointe-Claire,45.44002,-73.80373,Pointe-Claire
16,Parc Stewart,"Chem. du Bord-du-Lac-Lakeshore, Pointe-Claire, QC H9S 5T5",Pointe-Claire,45.43454,-73.80874,Pointe-Claire
17,Cedar Park Heights ,"22 Av. Robinsdale, Pointe-Claire, QC H9R 2J5",Pointe-Claire,45.44607,-73.82210,Pointe-Claire
18,Parc Delvida-Daoust,"2315 Chem. Lucerne, Mont-Royal, QC H3R 2J6",Mont-Royal,45.50735,-73.66045,Mont-Royal
19,Parc Kinderlsey,"Mont-Royal, QC",Mont-Royal,45.50700,-73.64980,Mont-Royal
20,Parc Emerald,"Croissant Stanstead, Mont-Royal, QC H3R 1Y1",Mont-Royal,45.50681,-73.64644,Mont-Royal
21,Parc Atholstan,"Mont-Royal, QC",Mont-Royal,45.50662,-73.64211,Mont-Royal
22,Parc Oakdale,"309 Av. Stanstead, Mont-Royal, QC H3R 1X5",Mont-Royal,45.50927,-73.64439,Mont-Royal
23,Parc Dakin,"Mont-Royal, QC",Mont-Royal,45.50974,-73.65385,Mont-Royal
24,Parc Douglas-Et-Harold-Towle,"Mont-Royal, QC",Mont-Royal,45.51140,-73.65878,Mont-Royal
25,Parc Isabelle-Schofield,"341-399 Av. Devon, Mont-Royal, QC H3R 1C1",Mont-Royal,45.51289,-73.65657,Mont-Royal
26,Parc Gundy,"2211 Chem. Sunset, Mont-Royal, QC H3R 2Y5",Mont-Royal,45.51513,-73.65276,Mont-Royal
27,Parc Godfroy Langlois,"2285 Athlone Rd, Mount Royal, QC H3R 3H3",Mont-Royal,45.51720,-73.65334,Mont-Royal
