,NOM,Price_per_piece
0,Westmount,269 332$
1,Outremont,231 180$
2,Ville-Marie,137 313$
3,Beaconsfield,133 866$
4,Verdun,117 682$
5,Montréal-Ouest,116 836$
6,Le Plateau-Mont-Royal,110 583$
7,Côte-des-Neiges-Notre-Dame-de-Grâce,104 788$
8,Le Sud-Ouest,102 841$
9,Lachine,100 526$
10,Villeray-Saint-Michel-Parc-Extension,97 622$
11,Rosemont-La Petite-Patrie,93 804$
12,Côte-Saint-Luc,92 011$
13,Ahuntsic-Cartierville,87 022$
14,Saint-Laurent,84 744$
15,L'Île-Bizard-Sainte-Geneviève,81 032$
16,Saint-Léonard,80 886$
17,Pierrefonds-Roxboro,80 848$
18,Anjou,78 923$
19,Mercier-Hochelaga-Maisonneuve,77 014$
20,Sainte-Anne-de-Bellevue,65 297$
21,Montréal-Nord,59 662$
22,LaSalle,57 115$
23,Rivière-des-Prairies-Pointe-aux-Trembles,55 543$
24,Montréal-Est,45 024$
