Addresse,titre,price,piece,sqfeet_building,sqfeet_terrain,car_score,cafe_score,walk_score,park_score,quiet_score,cycling_score,transit_score,vibrant_score,daycares_score,primary_score,shopping_score,groceries_score,nightlife_score,restaurant_score,high_school_score,Lat,Lon,NOM
"160, Avenue de la Grande-Allée, Montréal",Triplex à vendre,839 000 $,,,4 160 pc,10,2,5,6,3,6,5,2,10,10,4,8,3,4,3,45.6308969,-73.5045034,Montréal-Est
"195, Avenue de la Grande-Allée, Montréal",Maison à vendre,424 700 $,14 pièces,,4 000 pc,9,3,5,6,9,6,5,2,8,9,4,8,2,4,5,45.63126185,-73.50558480000001,Montréal-Est
"353, Avenue Lelièvre, Montréal",Maison à vendre,344 000 $,9 pièces,,4 171 pc,10,2,3,6,6,4,5,1,6,8,4,6,1,4,3,45.63151514,-73.51099284,Montréal-Est
"11150, Rue Dorchester, Montréal",Maison à vendre,499 500 $,9 pièces,,4 130 pc,8,3,4,6,4,6,4,2,9,10,4,8,2,4,3,45.6298563,-73.5046086,Montréal-Est
"11206, Rue Sainte-Julie, Montréal",Duplex à vendre,879 000 $,,,8 007 pc,9,2,5,6,8,6,5,2,10,10,4,8,3,4,2,45.6276295,-73.4980382,Montréal-Est
"11136, Rue Dorchester, Montréal",Maison à vendre,394 000 $,11 pièces,,6 575 pc,9,2,3,6,0,6,4,2,9,9,4,8,2,4,3,45.6292315,-73.5049201,Montréal-Est
"196, Avenue Dubé, Montréal",Triplex à vendre,689 000 $,,2 400 pc,4 661 pc,8,4,5,6,8,6,5,2,8,8,4,8,2,4,6,45.6321293,-73.4982685,Montréal-Est
"103, Avenue de la Grande-Allée, Montréal",Triplex à vendre,495 000 $,,,1 693 pc,8,3,5,6,8,6,5,2,9,10,4,8,2,4,4,45.630799929411765,-73.50284467058823,Montréal-Est
"152, Avenue Saint-Cyr, Montréal",Maison à vendre,394 000 $,9 pièces,,5 720 pc,8,4,5,6,9,7,5,2,8,9,4,8,3,4,6,45.63391563636364,-73.50155714545454,Montréal-Est
"11355, Rue De La Gauchetière, Montréal",Triplex à vendre,485 000 $,,,5 000 pc,8,4,5,6,9,7,5,2,8,9,4,8,3,4,6,45.631948,-73.5008935,Montréal-Est
"11310, Rue Notre-Dame Est, Montréal",Condo à vendre,574 900 $,10 pièces,1 326 pc,,8,2,5,6,5,6,5,2,10,9,4,8,3,4,3,45.5858544,-73.5078805,Mercier-Hochelaga-Maisonneuve
"332, Avenue Broadway, Montréal",Maison à vendre,329 000 $,7 pièces,,3 956 pc,10,3,4,6,6,5,5,2,8,8,4,7,1,4,5,45.6323147,-73.5092015,Montréal-Est
"52, Avenue Dubé, Montréal",Duplex à vendre,679 500 $,,,4 782 pc,8,3,5,6,6,7,4,2,9,9,4,8,3,4,4,45.6321293,-73.4982685,Montréal-Est
"11310, Rue Notre-Dame Est, Montréal",Condo à vendre,549 000 $,9 pièces,1 076 pc,,8,2,5,6,5,6,5,2,10,9,4,8,3,4,3,45.5858544,-73.5078805,Mercier-Hochelaga-Maisonneuve
"10977, Rue Notre-Dame Est, Montréal",Duplex à vendre,299 000 $,,,2 739 pc,9,2,4,6,1,6,5,2,9,9,4,7,2,4,1,45.62672125882353,-73.50124631764706,Montréal-Est
"30, Avenue de la Grande-Allée, Montréal",Quadruplex à vendre,1 260 000 $,,,,8,2,5,6,3,6,5,2,10,10,4,8,3,4,2,45.6301934,-73.4996449,Montréal-Est
"11355, Rue De La Gauchetière, Montréal",Maison à vendre,485 000 $,8 pièces,,5 000 pc,8,4,5,6,10,6,5,2,9,9,4,8,2,4,5,45.631948,-73.5008935,Montréal-Est
"159, Avenue Lelièvre, Montréal",Maison à vendre,329 900 $,12 pièces,,2 089 pc,8,3,5,6,8,6,5,2,9,10,4,8,2,4,4,45.630411,-73.5043034,Montréal-Est
"2730, Avenue Georges-V, Montréal",Condo à vendre,245 000 $,5 pièces,996 pc,,8,5,5,7,7,5,6,3,8,9,5,8,3,5,3,45.6127191,-73.5184223,Montréal-Est
"2730, Avenue Georges-V, Montréal",Condo à vendre,249 900 $,4 pièces,990 pc,,8,5,5,7,7,5,6,3,8,9,5,8,3,5,3,45.6127191,-73.5184223,Montréal-Est
"127, Promenade Sheraton, Montréal",Maison à vendre,899 000 $,14 pièces,,5 542 pc,8,2,4,6,8,4,5,2,5,8,3,4,2,4,7,45.453336,-73.658458,Montréal-Ouest
"45, Avenue Westminster Sud, Montréal",Condo à vendre,408 250 $,5 pièces,710 pc,,8,5,7,8,8,3,8,3,9,9,6,9,4,6,10,45.45158506923077,-73.6418603846154,Montréal-Ouest
"45, Avenue Westminster Sud, Montréal",Condo à vendre,591 100 $,5 pièces,1 028 pc,,8,5,7,7,7,3,8,3,9,9,6,9,4,6,10,45.45158506923077,-73.6418603846154,Montréal-Ouest
"45, Avenue Westminster Sud, Montréal",Condo à vendre,811 300 $,5 pièces,1 324 pc,,8,5,7,8,8,3,8,3,9,9,6,9,4,6,10,45.45158506923077,-73.6418603846154,Montréal-Ouest
"155, Avenue Brock Sud, Montréal",Maison à vendre,4 500 000 $,13 pièces,,19 250 pc,8,5,6,7,9,2,7,3,9,7,6,7,4,5,9,45.45136765714286,-73.63774855714286,Montréal-Ouest
"Avenue Brock Sud, Montréal",Terrain à vendre,1 597 000 $,,,11 000 pc,8,5,6,7,9,2,7,3,9,7,6,7,4,5,9,45.4512881,-73.6349749,Côte-des-Neiges-Notre-Dame-de-Grâce
"45, Avenue Westminster Sud, Montréal",Condo à vendre,472 650 $,5 pièces,822 pc,,8,5,7,8,8,3,8,3,9,9,6,9,4,6,10,45.45158506923077,-73.6418603846154,Montréal-Ouest
"45, Avenue Westminster Sud, Montréal",Condo à vendre,824 540 $,6 pièces,1 324 pc,,8,5,7,7,7,3,8,3,9,9,6,9,4,6,10,45.45158506923077,-73.6418603846154,Montréal-Ouest
"45, Avenue Westminster Sud, Montréal",Condo à vendre,957 925 $,7 pièces,1 560 pc,,8,5,7,8,8,3,8,3,9,9,6,9,4,6,10,45.45158506923077,-73.6418603846154,Montréal-Ouest
"75, Avenue Strathearn Nord, Montréal",Maison à vendre,739 000 $,8 pièces,,3 375 pc,7,5,6,7,7,5,7,3,9,9,6,9,3,6,9,45.452966194736845,-73.64726216315789,Montréal-Ouest
"45, Avenue Westminster Sud, Montréal",Condo à vendre,346 150 $,2 pièces,602 pc,,8,5,7,7,7,3,8,3,9,9,6,9,4,6,10,45.45158506923077,-73.6418603846154,Montréal-Ouest
"45, Avenue Westminster Sud, Montréal",Condo à vendre,537 625 $,5 pièces,935 pc,,8,5,7,8,8,3,8,3,9,9,6,9,4,6,10,45.45158506923077,-73.6418603846154,Montréal-Ouest
"45, Avenue Westminster Sud, Montréal",Condo à vendre,480 870 $,4 pièces,822 pc,,8,5,7,7,7,3,8,3,9,9,6,9,4,6,10,45.45158506923077,-73.6418603846154,Montréal-Ouest
"108, Promenade Sheraton, Montréal",Maison à vendre,999 000 $,11 pièces,,5 200 pc,9,2,4,6,8,4,5,2,4,8,3,4,2,4,7,45.4530657,-73.6582775,Montréal-Ouest
"45, Avenue Westminster Sud, Montréal",Condo à vendre,601 380 $,5 pièces,1 028 pc,,8,5,7,7,7,3,8,3,9,9,6,9,4,6,10,45.45158506923077,-73.6418603846154,Montréal-Ouest
"45, Avenue Westminster Sud, Montréal",Condo à vendre,1 305 410 $,8 pièces,2 146 pc,,8,5,7,7,7,3,8,3,9,9,6,9,4,6,10,45.45158506923077,-73.6418603846154,Montréal-Ouest
"16, Avenue Ballantyne Sud, Montréal",Maison à vendre,1 196 000 $,12 pièces,,4 400 pc,7,5,6,7,4,3,9,3,9,9,6,9,4,6,9,45.452383499999996,-73.64247922857142,Montréal-Ouest
"316, Avenue Ballantyne Nord, Montréal",Maison à vendre,1 349 000 $,13 pièces,,4 400 pc,7,3,6,7,8,6,7,3,8,9,5,7,3,5,9,45.45668069166667,-73.65357904166667,Montréal-Ouest
"202, Avenue Ballantyne Nord, Montréal",Maison à vendre,999 000 $,12 pièces,,2 907 pc,7,4,7,7,9,6,7,3,9,9,6,8,2,5,8,45.4553244,-73.6500506,Montréal-Ouest
"413, Avenue Westminster Nord, Montréal",Maison à vendre,599 000 $,8 pièces,,2 165 pc,6,3,5,7,4,5,7,3,8,9,5,7,3,5,9,45.457295214285715,-73.65649862857144,Montréal-Ouest
"316, Avenue Westminster Nord, Montréal",Maison à vendre,799 000 $,10 pièces,,2 125 pc,6,3,5,7,4,5,7,3,8,9,5,7,3,5,9,45.4561172,-73.65396485238095,Montréal-Ouest
