,NOM,Superficie (km2),Count of Restaurant,Restaurant_by_km2
0,Ahuntsic-Cartierville,24,127,6
1,Anjou,14,34,3
2,Beaconsfield,11,4,1
3,Côte-Saint-Luc,7,44,7
4,Côte-des-Neiges-Notre-Dame-de-Grâce,21,244,12
5,Dollard-des-Ormeaux,15,94,7
6,L'Île-Bizard-Sainte-Geneviève,24,5,1
7,LaSalle,16,71,5
8,Lachine,18,38,3
9,Le Plateau-Mont-Royal,8,437,55
10,Le Sud-Ouest,16,107,7
11,Mercier-Hochelaga-Maisonneuve,25,105,5
12,Montréal-Est,13,2,1
13,Montréal-Nord,11,63,6
14,Montréal-Ouest,1,4,4
15,Outremont,4,22,6
16,Pierrefonds-Roxboro,27,60,3
17,Rivière-des-Prairies-Pointe-aux-Trembles,42,46,2
18,Rosemont-La Petite-Patrie,16,196,13
19,Saint-Laurent,43,98,3
20,Saint-Léonard,14,73,6
21,Sainte-Anne-de-Bellevue,11,11,1
22,Verdun,10,71,8
23,Ville-Marie,17,461,28
24,Villeray-Saint-Michel-Parc-Extension,17,176,11
25,Westmount,4,68,17
26,Mont-Royal,8,18,3
27,Dorval,21,45,3
28,Kirkland,10,31,4
29,Pointe-Claire,19,67,4
30,Baie-d'Urfé,6,9,2
