,Centre,Addresse,Quartier,Lat,Lon,NOM
0,Anneau de glace au parc Saint-Émile,"Coin des rues Davidson et Rachel Est, Montréal",Rosemont–La Petite-Patrie,,,
1,Anneau de glace du parc Beaudet,"650, boulevard Décarie, Montréal",Saint-Laurent,45.480482,-73.6214843,Côte-des-Neiges-Notre-Dame-de-Grâce
2,Anneau de glace du parc Beaulac,"1145, rue Elizabeth, Montréal",Saint-Laurent,45.5194452,-73.6786465,Saint-Laurent
3,Anneau de glace du parc Chamberland,"800, rue Dorais, Montréal",Saint-Laurent,45.5037241,-73.6901641,Saint-Laurent
4,Anneau de glace du parc Decelles,"845, rue Roy, Montréal",Saint-Laurent,45.5141086,-73.6786261,Saint-Laurent
5,Anneau de glace du parc François-Perrault,"7525, rue François-Perrault, Montréal",Villeray–Saint-Michel–Parc-Extension,45.5624595,-73.60057385,Villeray-Saint-Michel-Parc-Extension
6,Anneau de glace du parc Philippe-Laheurte,"3035, avenue Ernest-Hemingway, Montréal",Saint-Laurent,45.50734442727273,-73.7167622090909,Saint-Laurent
7,Anneau de glace du parc Rosewood,"Avenue de Mount Vernon, Montréal",Lachine,45.4495079,-73.6521872,Lachine
8,Anneau de glace du parc Saint-Laurent,"Rue Poirier, Montréal",Saint-Laurent,45.5187344,-73.6983366,Saint-Laurent
9,Anneau de glace réfrigéré du parc Hayward,"Avenue Orchard, Montréal",LaSalle,45.4227349,-73.6475287,LaSalle
10,Aréna Ahuntsic,"10560, rue Saint-Hubert, Montréal",Ahuntsic-Cartierville,45.5571885,-73.664571,Ahuntsic-Cartierville
11,Aréna Bill-Durnan,"4988, rue Vézina, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4947432,-73.64454795017818,Côte-des-Neiges-Notre-Dame-de-Grâce
12,Aréna Camillien-Houde,"1696, rue Montcalm, Montréal",Ville-Marie,45.5198915,-73.5598555,Ville-Marie
13,Aréna Chaumont,"8750, avenue Chaumont, Montréal",Anjou,45.5250741,-73.5745217,Le Plateau-Mont-Royal
14,Aréna Chénier,"8200, avenue Chénier, Montréal",Anjou,45.6012678,-73.5424017,Anjou
15,Aréna Clément-Jetté,"8780, avenue Dubuisson, Montréal",Mercier–Hochelaga-Maisonneuve,45.6015372,-73.5168712,Mercier-Hochelaga-Maisonneuve
16,Aréna d'Outremont,"999, avenue McEachran, Montréal",Outremont,45.5199735,-73.61951115178306,Outremont
17,Aréna de Saint-Michel,"3440, rue Jarry Est, Montréal",Villeray–Saint-Michel–Parc-Extension,45.566019383333334,-73.60740775,Villeray-Saint-Michel-Parc-Extension
18,Aréna Doug-Harvey,"4985, avenue West Hill, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.47140995,-73.6385717440526,Côte-des-Neiges-Notre-Dame-de-Grâce
19,Aréna Étienne-Desmarteau,"3430, rue de Bellechasse, Montréal",Rosemont–La Petite-Patrie,45.555531650000006,-73.58023942656416,Rosemont-La Petite-Patrie
20,Aréna Fleury,"3700, rue Fleury Est, Montréal",Montréal-Nord,45.5834718,-73.637882,Montréal-Nord
21,Aréna Francis-Bouillon,"3175, rue de Rouen, Montréal",Mercier–Hochelaga-Maisonneuve,45.54191052727273,-73.55101582727272,Mercier-Hochelaga-Maisonneuve
22,Aréna Garon,"11212, avenue Garon, Montréal",Montréal-Nord,45.5947285,-73.6376267,Montréal-Nord
23,Aréna George-Mantha,"5485, chemin de la Côte-Saint-Paul, Montréal",Le Sud-Ouest,45.4671852,-73.593996,Le Sud-Ouest
24,Aréna Howie-Morenz,"8650, avenue Querbes, Montréal",Villeray–Saint-Michel–Parc-Extension,45.534219,-73.6420111,Villeray-Saint-Michel-Parc-Extension
25,Aréna Jacques-Lemaire,"8681, boulevard Champlain, Montréal",LaSalle,45.4191291,-73.621895,LaSalle
